,Battle,Date,Location,Result,belligerent,opp,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
5399,Battle_of_Isandlwana,22 January 1879,"Isandlwana, South Africa
Coordinates: 28°21′32″S 30°39′9″E﻿ / ﻿28.35889°S 30.65250°E﻿ / -28.35889; 30.65250",Decisive Zulu victory[1],Anthony Durnford,"Zulu Impi:
about 20,000[4]
c. 10,000 to 15,000 engaged
Reserve:
4,000 to 5,000 to Rorke's Drift","No.2 Column:
British: 14
Native + colonial: c. 511
No.3 Column:
British: 734
Native + colonial: c. 578
1,837 men total.
In addition to the troops above, an indeterminate number of civilians (wagon drivers, servants, etc.) were also present.[3]",L,D,1837.0,,,,,
5400,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,Artúr Görgei,"Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]","Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons",L,V,31315.0,,165.0,,,
5401,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,György Klapka,"Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]","Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons",L,V,31315.0,,165.0,,,
5402,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,János Damjanich,"Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]","Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons",L,V,31315.0,,165.0,,,
5403,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,Lajos Aulich,"Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]","Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons",L,V,31315.0,,165.0,,,
5404,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,András Gáspár (general),"Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]","Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons",L,V,31315.0,,165.0,,,
5405,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,"Alfred I, Prince of Windisch-Grätz","Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons","Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]",R,D,26000.0,,72.0,,,
5406,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,Franz Schlik,"Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons","Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]",R,D,26000.0,,72.0,,,
5407,Battle_of_Isaszeg_(1849),6 April 1849,"around Isaszeg and Gödöllő, Kingdom of Hungary",Hungarian strategic victory,Josip Jelačić,"Total: 31,315 men
- I corps: 10,827
- II corps: 8,896
- III corps: 11,592
99 cannons
Did not participate
VII corps: 14,258 men
66 cannons","Total: 26,000 men
- I corps: 15,000
- III corps: 11,000
72 cannons[1]",R,D,26000.0,,72.0,,,
5408,Battle_of_Island_Number_Ten,"February 28, 1862 (1862-02-28) – April 8, 1862 (1862-04-08)","New Madrid, Missouri and Lake County, Tennessee
36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708Coordinates: 36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708",Union victory,John Pope (military officer),"~7,000","23,000
6 gunboats
11 mortar rafts",L,V,23000.0,,,17.0,,
5409,Battle_of_Island_Number_Ten,"February 28, 1862 (1862-02-28) – April 8, 1862 (1862-04-08)","New Madrid, Missouri and Lake County, Tennessee
36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708Coordinates: 36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708",Union victory,Andrew Hull Foote,"~7,000","23,000
6 gunboats
11 mortar rafts",L,V,23000.0,,,17.0,,
5410,Battle_of_Island_Number_Ten,"February 28, 1862 (1862-02-28) – April 8, 1862 (1862-04-08)","New Madrid, Missouri and Lake County, Tennessee
36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708Coordinates: 36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708",Union victory,John P. McCown,"23,000
6 gunboats
11 mortar rafts","~7,000",R,D,7000.0,,,,,
5411,Battle_of_Island_Number_Ten,"February 28, 1862 (1862-02-28) – April 8, 1862 (1862-04-08)","New Madrid, Missouri and Lake County, Tennessee
36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708Coordinates: 36°27′32″N 89°28′15″W﻿ / ﻿36.4588°N 89.4708°W﻿ / 36.4588; -89.4708",Union victory,William W. Mackall,"23,000
6 gunboats
11 mortar rafts","~7,000",R,D,7000.0,,,,,
5412,Battle_of_Isly,14 August 1844,"Near Oujda, Morocco",French victory,Muhammad IV of Morocco,11.000 soldiers,20.000-25.000 cavalry,R,D,22500.0,,,,,
5413,Battle_of_Isly,14 August 1844,"Near Oujda, Morocco",French victory,Thomas Robert Bugeaud,20.000-25.000 cavalry,11.000 soldiers,L,V,11000.0,,,,,
5414,Battle_of_ItororÃ³,,,,,,,L,V,18667.0,,,,,
5416,Battle_of_ItororÃ³,,,,,,,R,D,2000.0,,,,,
5418,Battle_of_ItuzaingÃ³,,,,,,,L,D,4300.0,3700.0,12.0,,,
5419,Battle_of_ItuzaingÃ³,,,,,,,L,D,2300.0,3700.0,12.0,,,
5420,Battle_of_ItuzaingÃ³,,,,,,,R,V,1800.0,5400.0,16.0,,,
5422,Battle_of_Iuka,"September 19, 1862 (1862-09-19)","Tishomingo County,
near Iuka, Mississippi",Union victory,William Rosecrans,"3,179[1]","∼ 4,500[1]",L,V,4500.0,,,,,
5423,Battle_of_Iuka,"September 19, 1862 (1862-09-19)","Tishomingo County,
near Iuka, Mississippi",Union victory,Sterling Price,"∼ 4,500[1]","3,179[1]",R,D,3179.0,,,,,
5424,Battle_of_Ivankovac,18 August [O.S. 7 August] 1805,"Ivankovac, Sanjak of Smederevo,
 Ottoman Empire",Decisive Serbian victory,Hafız Ahmed Pasha,"initially 2,500 men, later reinforced with 5,000 more[citation needed]","20,000 men[citation needed]",R,D,20000.0,,,,,
5425,Battle_of_Ivankovac,18 August [O.S. 7 August] 1805,"Ivankovac, Sanjak of Smederevo,
 Ottoman Empire",Decisive Serbian victory,Karađorđe,"20,000 men[citation needed]","initially 2,500 men, later reinforced with 5,000 more[citation needed]",L,V,7500.0,,,,,
5426,Battle_of_Ivankovac,18 August [O.S. 7 August] 1805,"Ivankovac, Sanjak of Smederevo,
 Ottoman Empire",Decisive Serbian victory,Milenko Stojković,"20,000 men[citation needed]","initially 2,500 men, later reinforced with 5,000 more[citation needed]",L,V,7500.0,,,,,
5427,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Chester W. Nimitz,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5428,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Raymond A. Spruance,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5429,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Marc Mitscher,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5430,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,William H. P. Blandy,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5431,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Holland Smith,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5432,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Harry Schmidt (USMC),"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5433,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Graves B. Erskine,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5434,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Clifton B. Cates,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5435,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Keller E. Rockey,"20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]","110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships",L,V,110000.0,,,500.0,,
5436,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Tadamichi Kuribayashi,"110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships","20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]",R,D,20800.0,23.0,438.0,,,
5437,Battle_of_Iwo_Jima,19 February – 26 March 1945,"Iwo Jima, Volcano Islands",American victory,Takeichi Nishi,"110,000 U.S. Marines, U.S. Soldiers, U.S. Navy corpsmen, USAAF personnel, and others
500+ ships","20,530–21,060 troops[1]
23 tanks[2]
438 artillery pieces
33 naval guns
69 anti-tank guns
~300 anti-aircraft guns[3]",R,D,20800.0,23.0,438.0,,,
5438,Battle_of_JÃ¼terbog,,,,,,,L,V,16000.0,,,,,
5439,Battle_of_JÃ¼terbog,,,,,,,R,D,15000.0,,,,,
5440,Battle_of_Jackson_(TN),"December 19, 1862 (1862-12-19)","Jackson, Tennessee",Confederate victory,Adolph Englemann,400 cavalry,Unknown,L,D,1.0,,,,,
5441,Battle_of_Jackson_(TN),"December 19, 1862 (1862-12-19)","Jackson, Tennessee",Confederate victory,Nathan Bedford Forrest,Unknown,400 cavalry,R,V,,400.0,,,,
5442,Battle_of_Jankau,5 March 1645,"Near Jankov, 50 km southeast of Prague, Bohemia (present-day Czech Republic)",Decisive Swedish victory,Lennart Torstensson,"16,000 est.","16,000 est.",L,V,16000.0,,,,,
5443,Battle_of_Jankau,5 March 1645,"Near Jankov, 50 km southeast of Prague, Bohemia (present-day Czech Republic)",Decisive Swedish victory,Kaspar Kornelius Mortaigne de Potelles,"16,000 est.","16,000 est.",L,V,16000.0,,,,,
5444,Battle_of_Jankau,5 March 1645,"Near Jankov, 50 km southeast of Prague, Bohemia (present-day Czech Republic)",Decisive Swedish victory,Melchior von Hatzfeldt,"16,000 est.","16,000 est.",R,D,16000.0,,,,,
5445,Battle_of_Jankau,5 March 1645,"Near Jankov, 50 km southeast of Prague, Bohemia (present-day Czech Republic)",Decisive Swedish victory,Johann von Götzen,"16,000 est.","16,000 est.",R,D,16000.0,,,,,
5446,Battle_of_Jassin,18–19 January 1915,"Jassin, German East Africa",German victory,Paul von Lettow-Vorbeck,"300 men in Jassin
800 in the relief force","244 Europeans
1,350 Askaris
23 machine guns
4 field guns",L,V,1594.0,,4.0,,,23.0
5447,Battle_of_JataÃ­,,,,,,,L,V,10500.0,,,,,
5449,Battle_of_Java,28 February – 12 March 1942,"Java, Netherlands East Indies",Japanese Victory,Hein ter Poorten,"about 34,000 troops","Netherlands: 25,000; Britain: about 5,500; Australia: about 3,000;
U.S.: about 750

Total: about 34,250 troops",L,D,34250.0,,,,,
5450,Battle_of_Java,28 February – 12 March 1942,"Java, Netherlands East Indies",Japanese Victory,Hitoshi Imamura,"Netherlands: 25,000; Britain: about 5,500; Australia: about 3,000;
U.S.: about 750

Total: about 34,250 troops","about 34,000 troops",R,V,34000.0,,,,,
5451,Battle_of_Jeddah_(1813),Early days of 1813,"Jeddah, western Arabia",Ottoman victory.,Muhammad Ali of Egypt,"2,000[citation needed]","25,000[citation needed]",L,V,25000.0,,,,,
5452,Battle_of_Jeddah_(1813),Early days of 1813,"Jeddah, western Arabia",Ottoman victory.,Tusun Pasha,"2,000[citation needed]","25,000[citation needed]",L,V,25000.0,,,,,
5453,Battle_of_Jeddah_(1813),Early days of 1813,"Jeddah, western Arabia",Ottoman victory.,Saud bin Abdul-Aziz bin Muhammad bin Saud,"25,000[citation needed]","2,000[citation needed]",R,D,2000.0,,,,,
5454,Battle_of_Jeddah_1925,"10 February-17 December, 1925",Jeddah,Sultanate of Nejd Victory,Ibn Saud,"5,000 men
8 Aircraft[1]
40 Pieces of artillery
30 Machine guns
Some tanks[2]","50,000 men",L,V,50000.0,,,,,
5455,Battle_of_Jeddah_1925,"10 February-17 December, 1925",Jeddah,Sultanate of Nejd Victory,Sultan bin Bajad Al-Otaibi,"5,000 men
8 Aircraft[1]
40 Pieces of artillery
30 Machine guns
Some tanks[2]","50,000 men",L,V,50000.0,,,,,
5456,Battle_of_Jeddah_1925,"10 February-17 December, 1925",Jeddah,Sultanate of Nejd Victory,Ali of Hejaz,"50,000 men","5,000 men
8 Aircraft[1]
40 Pieces of artillery
30 Machine guns
Some tanks[2]",R,D,5000.0,,40.0,8.0,,30.0
5457,Battle_of_Jemappes,6 November 1792,"Near Jemappes, Belgium",French victory,Charles François Dumouriez,"13,796,
56 guns","40,000 – 43,000,
100 guns",L,V,41500.0,,100.0,,,
5458,Battle_of_Jemappes,6 November 1792,"Near Jemappes, Belgium",French victory,"Albert Casimir, Duke of Teschen","40,000 – 43,000,
100 guns","13,796,
56 guns",R,D,13796.0,,56.0,,,
5459,Battle_of_Jemappes,6 November 1792,"Near Jemappes, Belgium",French victory,"François Sébastien Charles Joseph de Croix, Count of Clerfayt","40,000 – 43,000,
100 guns","13,796,
56 guns",R,D,13796.0,,56.0,,,
5460,Battle_of_Jena–Auerstedt,14 October 1806,"Jena and Auerstedt, Germany
50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500Coordinates: 50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500",Decisive French victory,"Frederick Louis, Prince of Hohenlohe-Ingelfingen","67,000
40,000 (Jena);
27,000 (Auerstedt)","120,500
60,000 (Jena);
60,500 (Auerstedt)",R,D,120500.0,,,,,
5461,Battle_of_Jena–Auerstedt,14 October 1806,"Jena and Auerstedt, Germany
50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500Coordinates: 50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500",Decisive French victory,"Charles William Ferdinand, Duke of Brunswick-Wolfenbüttel","67,000
40,000 (Jena);
27,000 (Auerstedt)","120,500
60,000 (Jena);
60,500 (Auerstedt)",R,D,120500.0,,,,,
5462,Battle_of_Jena–Auerstedt,14 October 1806,"Jena and Auerstedt, Germany
50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500Coordinates: 50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500",Decisive French victory,Napoleon,"120,500
60,000 (Jena);
60,500 (Auerstedt)","67,000
40,000 (Jena);
27,000 (Auerstedt)",L,V,67000.0,,,,,
5463,Battle_of_Jena–Auerstedt,14 October 1806,"Jena and Auerstedt, Germany
50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500Coordinates: 50°57′00″N 11°34′30″E﻿ / ﻿50.95000°N 11.57500°E﻿ / 50.95000; 11.57500",Decisive French victory,Louis-Nicolas Davout,"120,500
60,000 (Jena);
60,500 (Auerstedt)","67,000
40,000 (Jena);
27,000 (Auerstedt)",L,V,67000.0,,,,,
5464,Battle_of_Jenkins'_Ferry,"April 30, 1864","Jenkins' Ferry, southwest of Little Rock
(present-day Grant County, Arkansas)
34°12′42.8″N 92°32′52.8″W﻿ / ﻿34.211889°N 92.548000°W﻿ / 34.211889; -92.548000",Union victory,Frederick Steele,"10,000","12,000",L,V,12000.0,,,,,
5465,Battle_of_Jenkins'_Ferry,"April 30, 1864","Jenkins' Ferry, southwest of Little Rock
(present-day Grant County, Arkansas)
34°12′42.8″N 92°32′52.8″W﻿ / ﻿34.211889°N 92.548000°W﻿ / 34.211889; -92.548000",Union victory,Edmund Kirby Smith,"12,000","10,000",R,D,10000.0,,,,,
5466,Battle_of_Jenkins'_Ferry,"April 30, 1864","Jenkins' Ferry, southwest of Little Rock
(present-day Grant County, Arkansas)
34°12′42.8″N 92°32′52.8″W﻿ / ﻿34.211889°N 92.548000°W﻿ / 34.211889; -92.548000",Union victory,Sterling Price,"12,000","10,000",R,D,10000.0,,,,,
5467,Battle_of_Jerusalem_Plank_Road,"June 21, 1864 (1864-06-21) – June 23, 1864 (1864-06-23)","Petersburg, Virginia",Inconclusive [1],David B. Birney,"8,000 [2]","27,000 [2]",L,I,27000.0,,,,,
5468,Battle_of_Jerusalem_Plank_Road,"June 21, 1864 (1864-06-21) – June 23, 1864 (1864-06-23)","Petersburg, Virginia",Inconclusive [1],Horatio Wright,"8,000 [2]","27,000 [2]",L,I,27000.0,,,,,
5469,Battle_of_Jerusalem_Plank_Road,"June 21, 1864 (1864-06-21) – June 23, 1864 (1864-06-23)","Petersburg, Virginia",Inconclusive [1],A. P. Hill,"27,000 [2]","8,000 [2]",R,I,8000.0,,,,,
5470,Battle_of_Jerusalem_Plank_Road,"June 21, 1864 (1864-06-21) – June 23, 1864 (1864-06-23)","Petersburg, Virginia",Inconclusive [1],William Mahone,"27,000 [2]","8,000 [2]",R,I,8000.0,,,,,
5471,Battle_of_Jhelum_-_Indian_Mutiny,7 July 1857,"Jhelum, British India, Present day Pakistan",British Victory,Charles Ellice,Approx 500 Sepoys,"435 Infantry
310 cavalry
100 Sikh Sepoys
3 Horse Artillery Guns",L,V,535.0,310.0,,3.0,,
5472,Battle_of_Jhelum_-_Indian_Mutiny,7 July 1857,"Jhelum, British India, Present day Pakistan",British Victory,South Wales Borderers,Approx 500 Sepoys,"435 Infantry
310 cavalry
100 Sikh Sepoys
3 Horse Artillery Guns",L,V,535.0,310.0,,3.0,,
5473,Battle_of_Jhelum_-_Indian_Mutiny,7 July 1857,"Jhelum, British India, Present day Pakistan",British Victory,Mirza Dildar Baig,"435 Infantry
310 cavalry
100 Sikh Sepoys
3 Horse Artillery Guns",Approx 500 Sepoys,R,D,500.0,,,,,
5474,Battle_of_Johnsonville,"November 4, 1864 (1864-11-04) – November 5, 1864 (1864-11-05)","Benton County / Humphreys County,
near Johnsonville, Tennessee",Confederate victory,Nathan Bedford Forrest,"4,000
3 gunboats","4,000
3 gunboats",R,V,4000.0,,,3.0,,
5475,Battle_of_Jonesborough,"August 31, 1864 (1864-08-31) –  September 1, 1864 (1864-09-01)","Clayton County, Georgia",Union victory,William Tecumseh Sherman,"24,000","70,000",L,V,70000.0,,,,,
5476,Battle_of_Jonesborough,"August 31, 1864 (1864-08-31) –  September 1, 1864 (1864-09-01)","Clayton County, Georgia",Union victory,Oliver Otis Howard,"24,000","70,000",L,V,70000.0,,,,,
5477,Battle_of_Jonesborough,"August 31, 1864 (1864-08-31) –  September 1, 1864 (1864-09-01)","Clayton County, Georgia",Union victory,George Henry Thomas,"24,000","70,000",L,V,70000.0,,,,,
5478,Battle_of_Jonesborough,"August 31, 1864 (1864-08-31) –  September 1, 1864 (1864-09-01)","Clayton County, Georgia",Union victory,John Bell Hood,"70,000","24,000",R,D,24000.0,,,,,
5479,Battle_of_Jonesborough,"August 31, 1864 (1864-08-31) –  September 1, 1864 (1864-09-01)","Clayton County, Georgia",Union victory,William J. Hardee,"70,000","24,000",R,D,24000.0,,,,,
5480,Battle_of_Jumonville_Glen,"May 28, 1754","Between present-day Hopwood & Farmington, Pennsylvania
39°52′46.4442″N 79°38′44.1234″W﻿ / ﻿39.879567833°N 79.645589833°W﻿ / 39.879567833; -79.645589833Coordinates: 39°52′46.4442″N 79°38′44.1234″W﻿ / ﻿39.879567833°N 79.645589833°W﻿ / 39.879567833; -79.645589833","British Colonial victory, French and Indian War begins",George Washington,35 soldiers[2],"40 colonial militia
12 Mingo warriors[1]",L,V,52.0,,,,,
5481,Battle_of_Jumonville_Glen,"May 28, 1754","Between present-day Hopwood & Farmington, Pennsylvania
39°52′46.4442″N 79°38′44.1234″W﻿ / ﻿39.879567833°N 79.645589833°W﻿ / 39.879567833; -79.645589833Coordinates: 39°52′46.4442″N 79°38′44.1234″W﻿ / ﻿39.879567833°N 79.645589833°W﻿ / 39.879567833; -79.645589833","British Colonial victory, French and Indian War begins",Tanacharison,35 soldiers[2],"40 colonial militia
12 Mingo warriors[1]",L,V,52.0,,,,,
5482,Battle_of_Jumonville_Glen,"May 28, 1754","Between present-day Hopwood & Farmington, Pennsylvania
39°52′46.4442″N 79°38′44.1234″W﻿ / ﻿39.879567833°N 79.645589833°W﻿ / 39.879567833; -79.645589833Coordinates: 39°52′46.4442″N 79°38′44.1234″W﻿ / ﻿39.879567833°N 79.645589833°W﻿ / 39.879567833; -79.645589833","British Colonial victory, French and Indian War begins",Joseph Coulon de Jumonville,"40 colonial militia
12 Mingo warriors[1]",35 soldiers[2],R,D,35.0,,,,,
5483,Battle_of_Jutas,13 September 1808,"Jutas, south of Nykarleby",Swedish victory,Georg Carl von Döbeln,about 1.500,about 1.500,L,V,1500.0,,,,,
5484,Battle_of_Jutland,31 May – 1 June 1916,"North Sea, near Denmark
56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867Coordinates: 56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867",See Outcome section,"John Jellicoe, 1st Earl Jellicoe","Total: 99 combat ships
16 battleships
5 battlecruisers
6 pre-dreadnoughts
11 light cruisers
61 torpedo-boats[a]","Total: 151 combat ships
28 battleships
9 battlecruisers
8 armoured cruisers
26 light cruisers
78 destroyers
1 minelayer
1 seaplane carrier",L,V,,,,151.0,,
5485,Battle_of_Jutland,31 May – 1 June 1916,"North Sea, near Denmark
56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867Coordinates: 56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867",See Outcome section,"David Beatty, 1st Earl Beatty","Total: 99 combat ships
16 battleships
5 battlecruisers
6 pre-dreadnoughts
11 light cruisers
61 torpedo-boats[a]","Total: 151 combat ships
28 battleships
9 battlecruisers
8 armoured cruisers
26 light cruisers
78 destroyers
1 minelayer
1 seaplane carrier",L,V,,,,151.0,,
5486,Battle_of_Jutland,31 May – 1 June 1916,"North Sea, near Denmark
56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867Coordinates: 56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867",See Outcome section,Reinhard Scheer,"Total: 151 combat ships
28 battleships
9 battlecruisers
8 armoured cruisers
26 light cruisers
78 destroyers
1 minelayer
1 seaplane carrier","Total: 99 combat ships
16 battleships
5 battlecruisers
6 pre-dreadnoughts
11 light cruisers
61 torpedo-boats[a]",R,D,,,,99.0,,
5487,Battle_of_Jutland,31 May – 1 June 1916,"North Sea, near Denmark
56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867Coordinates: 56°42′N 5°52′E﻿ / ﻿56.700°N 5.867°E﻿ / 56.700; 5.867",See Outcome section,Franz von Hipper,"Total: 151 combat ships
28 battleships
9 battlecruisers
8 armoured cruisers
26 light cruisers
78 destroyers
1 minelayer
1 seaplane carrier","Total: 99 combat ships
16 battleships
5 battlecruisers
6 pre-dreadnoughts
11 light cruisers
61 torpedo-boats[a]",R,D,,,,99.0,,
5488,Battle_of_KÃ¡polna,,,,,,,L,D,36000.0,,136.0,,,
5490,Battle_of_KÃ¡polna,,,,,,,R,V,30000.0,,165.0,,,
5492,Battle_of_KÃ¶niggrÃ¤tz,,,,,,,R,D,238000.0,,650.0,,,
5494,Battle_of_KÃ¶niggrÃ¤tz,,,,,,,L,V,221000.0,,702.0,,,
5496,Battle_of_Kabul_(1842),August–October 1842,"Kabul, Afghanistan","British victory and withdrawal;
End of the First Anglo-Afghan War.",Wazir Akbar Khan,"13,000","15,000",R,D,15000.0,,,,,
5497,Battle_of_Kabul_(1842),August–October 1842,"Kabul, Afghanistan","British victory and withdrawal;
End of the First Anglo-Afghan War.","Sir George Pollock, 1st Baronet","15,000","13,000",L,V,13000.0,,,,,
5498,Battle_of_Kabul_(1842),August–October 1842,"Kabul, Afghanistan","British victory and withdrawal;
End of the First Anglo-Afghan War.",William Nott,"15,000","13,000",L,V,13000.0,,,,,
5499,Battle_of_Kabul_(1842),August–October 1842,"Kabul, Afghanistan","British victory and withdrawal;
End of the First Anglo-Afghan War.",Robert Sale,"15,000","13,000",L,V,13000.0,,,,,
