Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
Battle_of_Lovejoy's_Station,"August 20, 1864 (1864-08-20)",Hugh Judson Kilpatrick,1 Cavalry Division,L,D,,,,,,
Battle_of_Lovejoy's_Station,"August 20, 1864 (1864-08-20)",William Hicks Jackson,1 Cavalry Division,R,V,,,,,,
Battle_of_Lowestoft,13 June 1665,James II of England,109 ships,L,V,,,,,,
Battle_of_Lowestoft,13 June 1665,Jacob van Wassenaer Obdam,103 ships,R,D,,,,,,
Battle_of_Lugou_Bridge,7–9 July 1937,Song Zheyuan,c. 100[1] + unknown reinforcements[3],L,V,,,,,,
Battle_of_Lugou_Bridge,7–9 July 1937,Kanichiro Tashiro,"5,600[4]",R,D,,,,,,
Battle_of_Lule_Burgas,28 October – 2 November 1912,Kölemen Abdullah Pasha,"130,000   300 guns[3]",R,D,,,,,,
Battle_of_Lule_Burgas,28 October – 2 November 1912,Ivan Fichev,"108,000   116 machine guns; 360 guns[2]",L,V,,,,,,
Battle_of_Lund,"December 4, 1676",Christian V of Denmark,"13,000:[1]   6,300 infantry   6,000 cavalry   56 cannon",R,D,,,,,,
Battle_of_Lund,"December 4, 1676",Simon Grundel-Helmfelt,"8,000:[1]   2,000 infantry   6,000 cavalry   12 cannon",L,V,,,,,,
Battle_of_Lundy's_Lane,25 July 1814 (1814-07-25),Eleazer Wheelock Ripley,"At start:   1,000: 3 guns   Reinforcements:   1,500: 6 guns[6]   Total: 2,500, 9 guns",R,I,,,,,,
Battle_of_Lundy's_Lane,25 July 1814 (1814-07-25),Phineas Riall,"At start:   1,800: 5 guns   Reinforcements:   1,700: 3 guns[5]   Total: 3,500, 8 guns",L,I,,,,,,
Battle_of_Luzon,"January 9th, 1945 – August 15th, 1945",Luis Taruc,"280,000[2]",L,V,,,,,,
Battle_of_Luzon,"January 9th, 1945 – August 15th, 1945",Tomoyuki Yamashita,"275,000[3]   232 tanks[4]",R,D,,,,,,
Battle_of_Lwów_(1675),"August 24, 1675",Ibrahim Shyshman,"20,000[1]:653",L,D,,,,,,
Battle_of_Lwów_(1675),"August 24, 1675",John III Sobieski,"~6,000[1]:653 (2,000 cavalry, 4,000 infantry)",R,V,,,,,,
Battle_of_Lynchburg,"June 17, 1864 (1864-06-17) – June 18, 1864 (1864-06-18)",Jubal Early,"14,000 [1]",R,V,,,,,,
Battle_of_Lynchburg,"June 17, 1864 (1864-06-17) – June 18, 1864 (1864-06-18)",David Hunter,"16,643 [1]",L,D,,,,,,
Battle_of_Lyngør,6 July 1812,Hans Peter Holm,"1 frigate,   3 brigs",R,D,,,,,,
Battle_of_Lyngør,6 July 1812,James Pattison Steward,"1 ship of the line,   3 brigs",L,V,,,,,,
Battle_of_Lützen_(1632),"6 November (O.S.) or 16 November (N.S.), 1632",Dodo zu Innhausen und Knyphausen,"12,800 infantry   6,200 cavalry   60 guns",L,V,,,,,,
Battle_of_Lützen_(1632),"6 November (O.S.) or 16 November (N.S.), 1632",Albrecht von Wallenstein,"10,000 infantry   7,000 cavalry, plus 3,000 infantry and 2,000 cavalry on arrival   24 guns",R,D,,,,,,
Battle_of_Lützen_(1813),2 May 1813,Gerhard von Scharnhorst,"93,000   (56,000 Russians and 37,000 Prussians)[1]",R,V,,,,,,
Battle_of_Lützen_(1813),2 May 1813,Napoleon,"78,000 engaged   170,000 present[1]",L,D,,,,,,
Battle_of_Maastricht,10-May-40,Fedor von Bock,7. Fliegerdivision   4. Panzerdivision   343 tanks,R,V,,,,,,
Battle_of_Maastricht,10-May-40,Henri Winkelman,750 soldiers,L,D,,,,,,
Battle_of_Mabitac,17-Sep-00,Juan Cailles,300~ Filipino soldiers (Filipino account)   800 Filipinos (American estimate),L,V,,,,,,
Battle_of_Machias,"June 11–12, 1775",Jeremiah O'Brien,Private sloops Unity and Falmouth Packet   55 militia (Massachusetts militia)[2],R,V,,,,,,
Battle_of_Maciejowice,10 October 1794,Alexander Suvorov,"14,000[1]:194",R,V,,,,,,
Battle_of_Maciejowice,10 October 1794,Tadeusz Kościuszko,"7,000[1]:194",L,D,,,,,,
Battle_of_Mackinac_Island_(1814),26 July – 4 August 1814,Robert McDouall,"150 Native Americans,   140 regulars,   25 militia (untrained)[1]",L,V,,,,,,
Battle_of_Mackinac_Island_(1814),26 July – 4 August 1814,George Croghan (soldier),700,R,D,,,,,,
Battle_of_Madonna_dell'Olmo,30 September 1744,Charles Emmanuel III of Sardinia,"c. 25,000",R,D,,,,,,
Battle_of_Madonna_dell'Olmo,30 September 1744,"Louis François, Prince of Conti","c. 26,000",L,V,,,,,,
Battle_of_Magdala,9–13 April 1868,"Robert Napier, 1st Baron Napier of Magdala","13,000[1]",L,V,,,,,,
Battle_of_Magdala,9–13 April 1868,Tewodros II,"9,000[citation needed]",R,D,,,,,,
Battle_of_Magenta,4 June 1859 [1],Victor Emmanuel II of Italy,"49,945 infantry[2]   1,207 cavalry   87 guns",L,V,,,,,,
Battle_of_Magenta,4 June 1859 [1],Ferenc Gyulay,"58,183 infantry[3]   3,435 cavalry   152 guns",R,D,,,,,,
Battle_of_Magersfontein,11 December 1899,Koos de la Rey,"8,500 men, five guns and three machine guns[2]",R,V,,,,,,
Battle_of_Magersfontein,11 December 1899,"Paul Methuen, 3rd Baron Methuen","14,964 men and 27 guns[1]",L,D,,,,,,
Battle_of_Maguaga,9 August 1812,James Miller (general),"280 regulars,   330+ militia",R,I,,,,,,
Battle_of_Maguaga,9 August 1812,Adam Muir (British Army officer),"75 regulars,   70 natives,   60 militia",L,I,,,,,,
Battle_of_Maidstone,1 June 1648,"George Goring, 1st Earl of Norwich",Approx. 2000,L,D,,,,,,
Battle_of_Maidstone,1 June 1648,Thomas Fairfax,Approx. 4000,R,V,,,,,,
Battle_of_Maipú,"April 5, 1818",Bernardo O'Higgins,"c5,000",L,V,,,,,,
Battle_of_Maipú,"April 5, 1818",Mariano Osorio,"c5,000",R,D,,,,,,
Battle_of_Maiwand,27 July 1880,George Burrows (Indian Army officer),"2,476 British/Indian troops",L,D,,,,,,
Battle_of_Maiwand,27 July 1880,Ayub Khan (Emir of Afghanistan),"25,000 Afghan warriors",R,V,,,,,,
Battle_of_Majuba_Hill,27 February 1881,George Pomeroy Colley,405 infantry,R,D,,,,,,
Battle_of_Majuba_Hill,27 February 1881,Joachim Ferreira,400-500 men,L,V,,,,,,
Battle_of_Makassar_Strait,4-Feb-42,Nishizō Tsukahara,37–45 planes (Allied estimate)   60 land based bombers (Japanese reports),R,V,,,,,,
Battle_of_Makassar_Strait,4-Feb-42,Karel Doorman,4 cruisers   7 destroyers,L,D,,,,,,
Battle_of_Makin,20–23 November 1943,Ralph C. Smith,"6,470   -27th Infantry Division",L,V,,,,,,
Battle_of_Makin,20–23 November 1943,Seizo Ishikawa,400 Japanese soldiers   400 Japanese and Korean laborers,R,D,,,,,,
Battle_of_Malaya,"8 December 1941 – 31 January 1942 (1 month, and 23 days)",Merton Beckwith-Smith,"140,000 troops[1]   253 aircraft   810 artillery pieces   208+ anti-tank and anti-aircraft guns   54 fortress guns[2][a]   250+ AFVs[2][b][3]   15,400+ motor vehicles[4][c]",L,D,,,,,,
Battle_of_Malaya,"8 December 1941 – 31 January 1942 (1 month, and 23 days)",Plaek Phibunsongkhram,"70,000 troops   568 aircraft   440+ artillery pieces[5]   200 tanks   3,000+ trucks[6]",R,V,,,,,,
Battle_of_Malmö,"June 26, 1677",Christian V of Denmark,"14,000 troops",R,D,,,,,,
Battle_of_Malmö,"June 26, 1677",Fabian von Fersen,"2,000 troops   5,000 townsmen",L,V,,,,,,
Battle_of_Maloyaroslavets,24 October 1812,Dmitry Dokhturov,"12,000 infantry   3,000 cavalry   84 guns   10,000 reinforcements later on.",R,D,,,,,,
Battle_of_Malplaquet,11 September 1709,Prince Eugene of Savoy,"86,000 men   100 guns",L,V,,,,,,
Battle_of_Malplaquet,11 September 1709,Claude Louis Hector de Villars,"75,000 men   80 guns",R,D,,,,,,
Battle_of_Malvern_Hill,"July 1, 1862 (1862-07-01)",Robert E. Lee,"55,000   12–14 batteries",R,D,,,,,,
Battle_of_Malvern_Hill,"July 1, 1862 (1862-07-01)",George B. McClellan,"54,000   33 batteries, 171 guns (more in reserve)   3 ships",L,V,,,,,,
Battle_of_Manado,11–13 January 1942,Ibō Takahashi,"2,500 naval infantry   500 paratroopers   20 aircraft",R,V,,,,,,
Battle_of_Manado,11–13 January 1942,B. F. A. Schilmöller,"1,500 infantry",L,D,,,,,,
Battle_of_Manila_(1762),24 September – 6 October 1762,Simón de Anda y Salazar,"556 regular Spanish troops[1]:12   8,600 Filipino troops   200 French and British deserters[3]",R,D,,,,,,
Battle_of_Manila_(1762),24 September – 6 October 1762,"Sir Samuel Cornish, 1st Baronet","10,300 men[2]   15 ships[1]:22–23",L,V,,,,,,
Battle_of_Manila_(1898),13 August 1898,Arthur MacArthur Jr.,"10,700       30,000",L,V,,,,,,
Battle_of_Manila_(1899),"February 4–5, 1899",Elwell Stephen Otis,"19,000 United States troops   8,000 in Manila   11,000 outer defenses[1]:42",L,V,,,,,,
Battle_of_Manila_(1899),"February 4–5, 1899",Emilio Aguinaldo,"15,000 Filipino troops[1]:42",R,D,,,,,,
Battle_of_Manila_Bay_(1898),1 May 1898,Patricio Montojo,"Engaged Forces:[cn 1]   2 protected cruisers   4 unprotected cruisers   2 gunboats   Unengaged Forces:   1 cruiser   3 gunboats,   1 transport   Shore defenses   6 batteries   3 forts",R,D,,,,,,
Battle_of_Manila_Bay_(1898),1 May 1898,George Dewey,Engaged Forces:[cn 1]   4 protected cruisers   2 gunboats   Unengaged Forces:   1 revenue cutter   2 transports,L,V,,,,,,
Battle_of_Marais_des_Cygnes,"October 25, 1864 (1864-10-25)",Frederick Benteen,"2,600",L,V,,,,,,
Battle_of_Marengo,14 June 1800,Louis Desaix,"24,000   24 guns [3]",L,V,,,,,,
Battle_of_Marengo,14 June 1800,Peter Karl Ott von Bátorkéz,"31,000   100 guns",R,D,,,,,,
Battle_of_Marmiton_River,"October 25, 1864 (1864-10-25)",John McNeil,2 brigades,L,V,,,,,,
Battle_of_Marmiton_River,"October 25, 1864 (1864-10-25)",Sterling Price,1 Division,R,D,,,,,,
Battle_of_Mars-La-Tour,16 August 1870,François Achille Bazaine,"127,000 troops",R,I,,,,,,
Battle_of_Mars-La-Tour,16 August 1870,Constantin von Alvensleben,"30,000 troops, later reinforced to 80,000",L,I,,,,,,
Battle_of_Marston_Moor,2 July 1644,Prince Rupert of the Rhine,"17,500:   Rupert's army:   6,000 horse   8,000 foot   500 dragoons   14 guns   York garrison:   3,000 foot",R,D,,,,,,
Battle_of_Marston_Moor,2 July 1644,William Baillie (soldier),"24,500:   Covenanters:   2,000 horse   11,000 foot   500 dragoons   50 guns   Parliamentarians:   5,000 horse   6,000 foot",L,V,,,,,,
Battle_of_Marstrand,6–23 July 1677,Ulrik Frederik Gyldenløve,"1,600 - 3,000",R,V,,,,,,
Battle_of_Martinique_(1780),17 April 1780,"George Brydges Rodney, 1st Baron Rodney",20 ships of the line,L,I,,,,,,
Battle_of_Martinique_(1780),17 April 1780,"Luc Urbain de Bouëxic, comte de Guichen",23 ships of the line,R,I,,,,,,
Battle_of_Maychew,31-Mar-36,Pietro Badoglio,"40,000 (with another 40,000 in reserve)[1]",L,V,,,,,,
Battle_of_Maychew,31-Mar-36,Haile Selassie,"31,000 (including six battalions of the Imperial Guard)[1]",R,D,,,,,,
Battle_of_Maysalun,24-Jul-20,Henri Gouraud (general),"12,000 troops (backed by tanks and aircraft)",L,V,,,,,,
Battle_of_Maysalun,24-Jul-20,Muhammad al-Ashmar,"1,400–4,000 regulars, Bedouin cavalrymen, civilian volunteers",R,D,,,,,,
Battle_of_Małogoszcz,24 February 1863,Marian Langiewicz,"2600, 2 very small cannons",L,I,,,,,,
Battle_of_Małogoszcz,24 February 1863,Dobrowolski,"3000, 6 heavy cannons",R,I,,,,,,
Battle_of_McDowell,"May 8, 1862 (1862-05-08)",Robert H. Milroy,"6,500[1]",L,D,,,,,,
Battle_of_Mecca_(1924),1924,Ibn Saud,"5,000 men",L,V,,,,,,
Battle_of_Mecca_(1924),1924,"Hussein bin Ali, Sharif of Mecca","1,000 men[1]",R,D,,,,,,
Battle_of_Medina_(1812),November 1812,Tusun Pasha,"20,000   18 cannons   3 mortars [1]",L,V,,,,,,
Battle_of_Medina_(1812),November 1812,Saud bin Abdul-Aziz bin Muhammad bin Saud,"10,000[citation needed]",R,D,,,,,,
Battle_of_Medina_de_Rioseco,14 July 1808,Joaquín Blake,"21,300–22,000 regulars and militia,[1][2]   600 cavalry,   20 guns[2]",R,D,,,,,,
Battle_of_Medina_de_Rioseco,14 July 1808,Jean-Baptiste Bessières,"12,550–800 infantry,[1][2]   950–1,200 cavalry,[1][2]   32 guns[2]",L,V,,,,,,
Battle_of_Megiddo_(WW1),19–25 September 1918,Yildirim Army Group,"3,000 mounted troops,   32,000 infantry,   402 guns[1]",R,D,,,,,,
Battle_of_Megiddo_(WW1),19–25 September 1918,XXI Corps (United Kingdom),"Allied   12,000 mounted troops,   57,000 infantry,   540 guns[1]   Arab   4,000+ regulars   unknown no. irregulars",L,V,,,,,,
Battle_of_Meissen,4 December 1759,Habsburg Monarchy,"21,000",L,,,,,,,
Battle_of_Mek'ele,January 1896,Giuseppe Galliano,"1,183   1,000 Askari and 183 Italians",L,D,,,,,,
Battle_of_Memphis,"June 6, 1862 (1862-06-06)",Charles Henry Davis,5 ironclads   2 rams,L,V,,,,,,
Battle_of_Memphis,"June 6, 1862 (1862-06-06)",M. Jeff Thompson,8 rams,R,D,,,,,,
Battle_of_Meridian,"February 14, 1864 (1864-02-14)–February 20, 1864 (1864-02-20)",William Tecumseh Sherman,"26,847",L,V,,,,,,
Battle_of_Miani,"February 17, 1843",Charles James Napier,"2,800[1]",L,V,,,,,,
Battle_of_Miani,"February 17, 1843",Amir Nasir Khan Talpur,"30,000[1]",R,D,,,,,,
Battle_of_Midtskogen,10-Apr-40,Eberhard Spiller,100 paratroopers,R,D,,,,,,
Battle_of_Midtskogen,10-Apr-40,Olaf Helset,"100+ soldiers/militia,   2 Colt M/29   heavy machine guns",L,V,,,,,,
Battle_of_Midway,4–7 June 1942,Isoroku Yamamoto,4 carriers   2 battleships   2 heavy cruisers   1 light cruiser   12 destroyers   248 carrier-based aircraft[2]   16 floatplanes      Did not participate in battle:   2 light carriers   5 battleships   4 heavy cruisers   2 light cruisers   ~35 support ships,R,D,,,,,,
Battle_of_Midway,4–7 June 1942,Chester W. Nimitz,3 carriers   7 heavy cruisers   1 light cruiser   15 destroyers   233 carrier-based aircraft   127 land-based aircraft   16 submarines[1],L,V,,,,,,
Battle_of_Milazzo_(1860),17 July – 24 July 1860,Giuseppe Garibaldi,"c. 4,500",L,V,,,,,,
Battle_of_Mile_Hill,"September 2, 1862",Thomas T. Munford,163,R,V,,,,,,
Battle_of_Mill,10–11 May 1940,Friedrich Weber (general),"~30,000 soldiers   1 armored train   1 troop train   37 bombers",R,V,,,,,,
Battle_of_Mill,10–11 May 1940,Adrianus Antonius van Nijnatten,"~2,000 troops",L,D,,,,,,
Battle_of_Mill_Springs,"January 19, 1862 (1862-01-19)",Felix Zollicoffer,"5,900",R,D,,,,,,
Battle_of_Mill_Springs,"January 19, 1862 (1862-01-19)",George Henry Thomas,"4,400",L,V,,,,,,
Battle_of_Millesimo,13–14 April 1796,Giovanni Marchese di Provera,988   2 guns,R,D,,,,,,
Battle_of_Millesimo,13–14 April 1796,Pierre Augereau,"9,000   23 guns",L,V,,,,,,
Battle_of_Milne_Bay,25 August 1942 (1942-08-25) – 7 September 1942 (1942-09-07),Masajiro Hayashi,"1,943[2]",R,D,,,,,,
Battle_of_Milne_Bay,25 August 1942 (1942-08-25) – 7 September 1942 (1942-09-07),Cyril Clowes,"8,824[1]",L,V,,,,,,
Battle_of_Mindanao,10 March – 15 August 1945,Salipada Pendatun,"Eighth Army      200,000-600,000 troops (under the Commonwealth Army and Constabulary)   33,000 guerrillas",L,V,,,,,,
Battle_of_Mindanao,10 March – 15 August 1945,Gyosaku Morozumi,"102,000[1]:587",R,D,,,,,,
Battle_of_Minden,1 August 1759,"George Germain, 1st Viscount Sackville","37,000 and 181 guns[1]",L,V,,,,,,
Battle_of_Minden,1 August 1759,Louis Georges Érasme de Contades,"44,000 and 162 guns[1]",R,D,,,,,,
Battle_of_Mindoro,"December 13–16, 1944",Rikichi Tsukada,"1,200 Japanese troops",R,D,,,,,,
Battle_of_Mindoro,"December 13–16, 1944",Roscoe B. Woodruff,"10,000 American troops",L,V,,,,,,
Battle_of_Mine_Creek,"October 25, 1864 (1864-10-25)",John S. Marmaduke,"7,000[1]",R,D,,,,,,
Battle_of_Mine_Creek,"October 25, 1864 (1864-10-25)",Alfred Pleasonton,"2,600[1]",L,V,,,,,,
Battle_of_Mine_Run,"November 27, 1863 (1863-11-27) – December 2, 1863 (1863-12-02)",Robert E. Lee,"48,000[1]",R,I,,,,,,
Battle_of_Mine_Run,"November 27, 1863 (1863-11-27) – December 2, 1863 (1863-12-02)",George Meade,"81,000[1]",L,I,,,,,,
Battle_of_Mingolsheim,27 April 1622,"Johann Tserclaes, Count of Tilly","28,000",R,I,,,,,,
Battle_of_Mirbat,19-Jul-72,Mike Kealy,9 SAS soldiers   25 men from Omani Gendarmerie[1]   30 Balochi Askari[1]   1 local firqat[1]   3 BAC Strikemaster light attack jets,L,V,,,,,,
Battle_of_Mišar,12–15 August 1806,Jakov Nenadović,"8,000 serbian rebels",L,V,,,,,,
Battle_of_Mišar,12–15 August 1806,Sinan-paša Sijerčić,"40,000 + several French artillery officers",R,D,,,,,,
Battle_of_Mobile_(1781),"January 7, 1781",Johann von Hanxleden,100 British regulars   261 militia   420 Indians   60 Waldeckers[1],R,V,,,,,,
Battle_of_Mobile_Bay,"August 2, 1864 (1864-08-02)–August 23, 1864 (1864-08-23)[1]",Richard Lucian Page,"3 gunboats   1 ironclad   1,500 men",R,D,,,,,,
Battle_of_Mobile_Bay,"August 2, 1864 (1864-08-02)–August 23, 1864 (1864-08-23)[1]",Union Navy,"12 wooden ships   2 gunboats   4 ironclad monitors   5,500 men",L,,,,,,,
Battle_of_Modder_River,28 November 1899,"Paul Methuen, 3rd Baron Methuen","8,000 men, 20 guns[1][2]",L,V,,,,,,
Battle_of_Modder_River,28 November 1899,Piet Cronjé,"9,000 men, 6 guns, 1 pom pom[1]",R,D,,,,,,
Battle_of_Mogadishu_(1993),"3–4 October 1993
(1 day)",Mohamed Farrah Aidid,"4,000–6,000 militiamen and civilian fighters",R,D,,,,,,
Battle_of_Mogadishu_(1993),"3–4 October 1993
(1 day)",William F. Garrison,"Initially: 160 men   12 vehicles (9 Humvees, 3 M939 trucks)   19 aircraft (16 helicopters – 8 Black Hawks and 8 Little Birds)",L,V,,,,,,
Battle_of_Mohács_(1687),12 August 1687,Enea Silvio Piccolomini (general),"40,000 Habsburg troops   20,000 Bavarian troops   Total: 60,000 men[1]",L,V,,,,,,
Battle_of_Mohács_(1687),12 August 1687,Sarı Süleyman Pasha,"60,000 men[citation needed]",R,D,,,,,,
Battle_of_Molino_del_Rey,"September 8, 1847",William J. Worth,"9,800",L,V,,,,,,
Battle_of_Mollwitz,10 April 1741,Frederick the Great,"21,600[1]",L,V,,,,,,
Battle_of_Mollwitz,10 April 1741,Wilhelm Reinhard von Neipperg,"19,000[2]",R,D,,,,,,
Battle_of_Monastir,16–19 November 1912,Petar Bojović,"108,544[2]",L,V,,,,,,
Battle_of_Monastir,16–19 November 1912,Zeki Pasha,"38,350[3]",R,D,,,,,,
Battle_of_Mondovì,21 April 1796,Napoleon,"17,500[1]",L,V,,,,,,
Battle_of_Monmouth,"June 28, 1778","Henry Clinton (British Army officer, born 1730)","14,000–15,000[1]",R,I,,,,,,
Battle_of_Monmouth,"June 28, 1778",George Washington,"11,000[1]",L,I,,,,,,
Battle_of_Monocacy_Junction,"July 9, 1864",Jubal Early,"14,000[2]",R,V,,,,,,
Battle_of_Monocacy_Junction,"July 9, 1864",Lew Wallace,"5,800[1]",L,D,,,,,,
Battle_of_Mons,23-Aug-14,Alexander von Kluck,4 corps   3 cavalry divisions   600 guns,R,I,,,,,,
Battle_of_Mons,23-Aug-14,Horace Smith-Dorrien,2 corps   1 cavalry division   1 cavalry brigade   300 guns,L,I,,,,,,
Battle_of_Monte_Caseros,"February 3, 1852",Justo José de Urquiza,"24,000-28,000 (3,500 Brazilian and 1500 Uruguayan troops)   50 guns",L,V,,,,,,
Battle_of_Monte_Caseros,"February 3, 1852",Juan Manuel de Rosas,"22,000-23,000   60 guns",R,D,,,,,,
Battle_of_Monte_Cassino,"17 January – 18 May 1944
123 days",Mark W. Clark,"240,000 men   1,900 tanks   4,000 planes[4]",L,V,,,,,,
Battle_of_Monte_Cassino,"17 January – 18 May 1944
123 days",Fridolin von Senger und Etterlin,"~140,000 men[citation needed]   unknown tanks and aircraft",R,D,,,,,,
Battle_of_Monte_Castello,25 November 1944 – 21 February 1945,Eccard Freiherr von Gablenz,"232nd Grenadier Division (Wehrmacht)      9,000 German soldiers",R,D,,,,,,
Battle_of_Monte_Castello,25 November 1944 – 21 February 1945,João Baptista Mascarenhas de Morais,1st Expeditionary Infantry Division    Divisionary Artillery    Task force 45 (1st attacks),L,V,,,,,,
Battle_of_Monte_Santiago,"April 7–8, 1827",William Brown (admiral),2 brigs   1 boat   1 schooner   63 cannons,R,D,,,,,,
Battle_of_Montebello_(1800),9 June 1800,Jean Lannes,"8,000 rising to 14,000",L,V,,,,,,
Battle_of_Montebello_(1859),20 May 1859,Philipp von Stadion,"18,708 infantry[2]   600 cavalry   16 guns",R,D,,,,,,
Battle_of_Montebello_(1859),20 May 1859,Élie Frédéric Forey,"6,600 infantry[1]",L,V,,,,,,
Battle_of_Montenotte,11 and 12 April 1796,Amédée Emmanuel François Laharpe,"9,000, 18 guns",L,V,,,,,,
Battle_of_Montenotte,11 and 12 April 1796,Mathias Rukavina von Boynograd,"6,000, 12 guns",R,D,,,,,,
Battle_of_Montereau,18 February 1814,William I of Württemberg,"15,000–18,000, 40 guns",R,D,,,,,,
Battle_of_Montereau,18 February 1814,Napoleon,"30,000, 70–80 guns",L,V,,,,,,
Battle_of_Monterrey,"September 21–24, 1846",Zachary Taylor,"6,220[1]:100",L,V,,,,,,
Battle_of_Monterrey,"September 21–24, 1846",Pedro de Ampudia,"7,303[1]:100",R,D,,,,,,
Battle_of_Montes_Claros,17 June 1665,"António Luís de Meneses, 1st Marquis of Marialva","20,000 men:(including 2,000 from British Isles)[2]      15,000 infantry[3]   5,000 cavalry[3]   20 cannons[3]",L,V,,,,,,
Battle_of_Montmartre,30–31 March 1814,Louis Alexandre Andrault de Langeron,"155,000      100,000 Russians   40,000 Prussians   15,000 Austrians and German allies",R,V,,,,,,
Battle_of_Montmartre,30–31 March 1814,Joseph Bonaparte,"23,000 regulars   6,000 National Guards",L,D,,,,,,
Battle_of_Montmirail,11 February 1814,Napoleon,"20,000–27,000",L,V,,,,,,
Battle_of_Montmirail,11 February 1814,Ludwig Yorck von Wartenburg,"18,000, 90 guns    ½ of 18,000, 16 guns",R,D,,,,,,
Battle_of_Moore's_Creek_Bridge,"February 27, 1776",Donald MacDonald (British officer),"Start of march: 1,400–1,600[2][3]   Battle: 700–800[1]",R,D,,,,,,
Battle_of_Moore's_Creek_Bridge,"February 27, 1776",Alexander Lillington,"1,050 militia[1]",L,V,,,,,,
Battle_of_Morton's_Ford,"February 6, 1864 (1864-02-06) – February 7, 1864 (1864-02-07)",John C. Caldwell,Corps,L,I,,,,,,
Battle_of_Morval,25–28 September 1916,Émile Fayolle,11 British divisions   7 French divisions,L,V,,,,,,
Battle_of_Morval,25–28 September 1916,Fritz von Below,4 divisions,R,D,,,,,,
Battle_of_Moscow,2 October 1941 – 7 January 1942,Aleksandr Vasilevsky,"As of 1 October 1941:   1,250,000–1,400,000 men,   3,232 tanks,   7,600 guns,   Initial aircraft: 936 (545 serviceable)[8] At time of counter offensive: 1,376[11]",R,V,,,,,,
Battle_of_Moscow,2 October 1941 – 7 January 1942,Heinz Guderian,"As of 1 October 1941:   1,183,693–1,929,406 men,   [3][4][5][6] 1,000 tanks,[7]   14,000 guns,   Initial aircraft: 549 serviceable[8][9][10] At time of counter offensive: 599[11]",L,D,,,,,,
Battle_of_Mount_Harriet,"June 11–12, 1982",Nick Vaux,600 Royal Marines,R,V,,,,,,
Battle_of_Mount_Harriet,"June 11–12, 1982",Diego Soria,approximately 400 troops,L,D,,,,,,
Battle_of_Mount_Longdon,11–12 June 1982,Carlos Carrizo-Salvadores,278 men,L,D,,,,,,
Battle_of_Mount_Longdon,11–12 June 1982,Hew Pike,450 men,R,V,,,,,,
Battle_of_Mount_Tumbledown,13 June – 14 June 1982,Michael Scott (British Army officer),641 Troops,R,V,,,,,,
Battle_of_Mount_Tumbledown,13 June – 14 June 1982,Carlos Robacio,700 Argentine Marines + 200 infantrymen from Argentine Army,L,D,,,,,,
Battle_of_Mount_Zion_Church,"December 28, 1861 (1861-12-28)",Caleb W. Dorsey,~900,R,D,,,,,,
Battle_of_Moys,7 September 1757,Hans Karl von Winterfeldt,"13,000 men",L,D,,,,,,
Battle_of_Moys,7 September 1757,Count Leopold Joseph von Daun,"26,000 men",R,V,,,,,,
Battle_of_Mudki,18 December 1845,"Hugh Gough, 1st Viscount Gough","10,000[2]–11,000[1]   42 guns",R,V,,,,,,
Battle_of_Mudki,18 December 1845,Lal Singh,"10,000[1]   22 guns[2]",L,D,,,,,,
Battle_of_Muizenberg,10 June–15 September 1795,Abraham Josias Sluysken,"3,600",L,D,,,,,,
Battle_of_Mukden,20 February – 10 March 1905,Aleksey Kuropatkin,"343,000 troops[2]   800 artillery pieces",R,D,,,,,,
Battle_of_Mukden,20 February – 10 March 1905,Ōyama Iwao,"281,000 troops[2]   500 artillery pieces",L,V,,,,,,
Battle_of_Mulhouse,"7–10, 14–26 August 1914",Paul Pau,"First Army   VII Corps   (45,000 men)   Army of Alsace",L,D,,,,,,
Battle_of_Mulhouse,"7–10, 14–26 August 1914",Josias von Heeringen,"7th Army   XIV and XV Corps   (30,000 men engaged)",R,V,,,,,,
Battle_of_Murfreesboro,"December 31, 1862 (1862-12-31) – January 2, 1863 (1863-01-02)",Braxton Bragg,"35,000 effectives[3]",R,D,,,,,,
Battle_of_Murfreesboro,"December 31, 1862 (1862-12-31) – January 2, 1863 (1863-01-02)",William Rosecrans,"43,400 effectives[2][3]",L,V,,,,,,
Battle_of_Mór,30 December 1848,Mór Perczel,"6,500 men   24 cannon",L,D,,,,,,
Battle_of_Namozine_Church,"April 3, 1865 (1865-04-03)",George Armstrong Custer,"1,000 [1]",L,I,,,,,,
Battle_of_Namozine_Church,"April 3, 1865 (1865-04-03)",Fitzhugh Lee,700 [1],R,I,,,,,,
Battle_of_Nanchang,"March 17 – May 9, 1939",Yasuji Okamura,"120,000 troops in 3 Divisions: 6th, 101st and 106th, Ishii Tank Unit (130 tanks and tankettes), 1 Cavalry Regiment, 1 Artillery Brigade, 2 Artillery Regiments (200 artillery pieces), 30+ ships and 50 motor boats and one battalion of Marines, and several air squadrons",R,V,,,,,,
Battle_of_Nanchang,"March 17 – May 9, 1939",Xue Yue,"200,000 troops in 39 Divisions in 4 Army Groups: 19th, 1st, 30th and 32nd Army Groups, Hunan–Hupei–Kiangsi Border Area Guerrilla Command",L,D,,,,,,
Battle_of_Narva_(1700),"19 November 1700 (O.S.)
20 November 1700 (Swedish calendar)
30 November 1700 (N.S.)",Adam Veyde,"37,000 men,   195 artillery pieces[b]",R,D,,,,,,
