,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
775,Battle_of_Segale,27 October 1916,"Segale, 40 miles north of Addis Ababa","Ethiopian regents' victory

Lij Iyasu's chief supporter crushed, removing his ability to keep the Imperial throne",Habte Giyorgis Dinagde,"80,000","120,000",L,,,,,,,V
777,Battle_of_Segale,27 October 1916,"Segale, 40 miles north of Addis Ababa","Ethiopian regents' victory

Lij Iyasu's chief supporter crushed, removing his ability to keep the Imperial throne",Mikael of Wollo,"120,000","80,000",R,,,,,,,D
778,Battle_of_Magdhaba,23 December 1916,"Sinai peninsula, Egypt
Coordinates: 30°53′N 34°1′E﻿ / ﻿30.883°N 34.017°E﻿ / 30.883; 34.017",British Empire victory,Harry Chauvel,"2,000","6,000",L,,,,,,,V
779,Second_Battle_of_Kut,23 February 1917,"Kut, Mesopotamia (present-day Iraq)
32°30′20″N 45°49′29″E﻿ / ﻿32.505556°N 45.824722°E﻿ / 32.505556; 45.824722",British and Indian victory,Frederick Stanley Maude,"17,000[1]","50,000[1]",L,,,,,,,V
780,First_Battle_of_Gaza,26 March 1917,"Gaza, southern Palestine",Ottoman victory,Archibald Murray,"2,000 almost doubled by reinforcements",,L,,,,,,,D
781,Battle_of_Tampere,15 March – 6 April 1918,"Tampere, Finland",Decisive White victory,Hugo Salmela,"16,000
400 Swedish volunteers","14,000",R,,,,,,,D
782,Battle_of_Cantigny,28 May 1918,"Cantigny
49°39′50″N 2°29′28″E﻿ / ﻿49.664°N 2.491°E﻿ / 49.664; 2.491Coordinates: 49°39′50″N 2°29′28″E﻿ / ﻿49.664°N 2.491°E﻿ / 49.664; 2.491",Allied victory,Robert Lee Bullard,Unknown,"~4,000",L,,,,,,,V
783,Battle_of_Cantigny,28 May 1918,"Cantigny
49°39′50″N 2°29′28″E﻿ / ﻿49.664°N 2.491°E﻿ / 49.664; 2.491Coordinates: 49°39′50″N 2°29′28″E﻿ / ﻿49.664°N 2.491°E﻿ / 49.664; 2.491",Allied victory,Oskar von Hutier,"~4,000",Unknown,R,,,,,,,D
784,Battle_of_Havrincourt,12 September 1918,"Havrincourt, France
50°06′43″N 03°05′13″E﻿ / ﻿50.11194°N 3.08694°E﻿ / 50.11194; 3.08694Coordinates: 50°06′43″N 03°05′13″E﻿ / ﻿50.11194°N 3.08694°E﻿ / 50.11194; 3.08694",British victory,"Julian Byng, 1st Viscount Byng of Vimy",4 divisions,3 divisions,L,,,,,,,V
785,Battle_of_Epéhy,18 September 1918,"Épehy, France",Allied victory,"Henry Rawlinson, 1st Baron Rawlinson",At least 6 divisions [2],"12 divisions [1]
1,500 artillery pieces",L,,,,,,,V
786,Battle_of_Epéhy,18 September 1918,"Épehy, France",Allied victory,Georg von der Marwitz,"12 divisions [1]
1,500 artillery pieces",At least 6 divisions [2],R,,,,,,,D
787,Battle_of_Przemyśl_(1918),"November 2–12, 1918","Przemyśl, Galicia",Polish decisive victory,Julian Stachiewicz,unknown (several hundreds),"several dozens (initial)
1367 men plus 379 reinforcements send from Krakow (final)",R,,,,,,,D
788,Battle_of_Wołodarka,"May 29–31, 1920","Volodarka, near Kiev, Ukraine",Polish tactical victory,Stefan Dąb-Biernacki,4th Cavalry Division,"2 infantry regiments
1 cavalry regiment
1 artillery group",L,,,,,,,V
789,Battle_of_Wołodarka,"May 29–31, 1920","Volodarka, near Kiev, Ukraine",Polish tactical victory,Alexander Yegorov (military),"2 infantry regiments
1 cavalry regiment
1 artillery group",4th Cavalry Division,R,,,,,,,D
790,Second_Battle_of_Inonu,"March 26–31, 1921","near İnönü, Turkey",Turkish victory,İsmet İnönü,"30,000[1]","15,000[1]",L,,,,,,,V
791,Second_Battle_of_Inonu,"March 26–31, 1921","near İnönü, Turkey",Turkish victory,Anastasios Papoulas,"15,000[1]","30,000[1]",R,,,,,,,D
792,Battle_of_Jeddah_1925,"10 February-17 December, 1925",Jeddah,Sultanate of Nejd Victory,Ibn Saud,"5,000 men
8 Aircraft[1]
40 Pieces of artillery
30 Machine guns
Some tanks[2]","50,000 men",L,,,,,,,V
794,Battle_of_Shanghai_(1932),"January 28 – March 3, 1932","In and around Shanghai, China","Ceasefire;
Shanghai demilitarized",Jiang Guangnai,"100,000+","50,000",L,,,,,,,I
795,Battle_of_Rehe,"February 21 to March 1, 1933",Jehol Province,Japanese victory,Tang Yulin,"48,000","20,000",L,,,,,,,D
796,Battle_of_Rehe,"February 21 to March 1, 1933",Jehol Province,Japanese victory,Nobuyoshi Mutō,"20,000","48,000",R,,,,,,,V
797,First_Battle_of_Tembien,20 January to 24 January 1936,"Tembien Province, Ethiopia","Strategic Italian victory

Ethiopian threat to the Italian I Corps and III Corps neutralized",Pietro Badoglio,"Approximately 70,000","Approximately 70,000",L,,,,,,,V
799,Battle_of_Nanjing,"December 1–13, 1937",Nanking and surrounding areas,"Japanese victory
Fall of Nanking
Nanking Massacre",Tang Shengzhi,"50,000","100,000[1]",L,,,,,,,D
802,Battle_of_Nanjing,"December 1–13, 1937",Nanking and surrounding areas,"Japanese victory
Fall of Nanking
Nanking Massacre",Iwane Matsui,"100,000[1]","50,000",R,,,,,,,V
803,Battle_of_Tomaszów_Lubelski,"September 17–26, 1939","Near Tomaszów Lubelski, Poland
50°27′00″N 23°25′00″E﻿ / ﻿50.45000°N 23.41667°E﻿ / 50.45000; 23.41667Coordinates: 50°27′00″N 23°25′00″E﻿ / ﻿50.45000°N 23.41667°E﻿ / 50.45000; 23.41667",German victory,Leonard Wecker,"First Phase:
Unknown number of soldiers
~80 tanks and tankettes
Second Phase:
39,000 soldiers
225 cannons","Unknown number of soldiers
+200 tanks and AFVs",L,,,,,,,V
804,Battle_of_Tomaszów_Lubelski,"September 17–26, 1939","Near Tomaszów Lubelski, Poland
50°27′00″N 23°25′00″E﻿ / ﻿50.45000°N 23.41667°E﻿ / 50.45000; 23.41667Coordinates: 50°27′00″N 23°25′00″E﻿ / ﻿50.45000°N 23.41667°E﻿ / 50.45000; 23.41667",German victory,Antoni Szylling,"Unknown number of soldiers
+200 tanks and AFVs","First Phase:
Unknown number of soldiers
~80 tanks and tankettes
Second Phase:
39,000 soldiers
225 cannons",R,,,,,,,D
805,Battle_of_Tolvajärvi,12 December 1939,"Tolvajärvi, north of Lake Ladoga, Finland",Finnish victory,Paavo Talvela,"Two divisions, 1 Tank Brigade (20,000 men)","One regiment and separate battalions (4,000 men)",L,,,,,,,V
806,Battle_of_Tolvajärvi,12 December 1939,"Tolvajärvi, north of Lake Ladoga, Finland",Finnish victory,Nikolai Ivanovich Belyaev,"One regiment and separate battalions (4,000 men)","Two divisions, 1 Tank Brigade (20,000 men)",R,,,,,,,D
808,Battle_of_Drøbak_Sound,9 April 1940,"Drøbak Sound, Norway","Decisive Norwegian victory

German invasion force delayed
Flight of the Storting, Royal Family, and gold reserve",Birger Eriksen,"2 heavy cruisers
1 light cruiser
1 torpedo boat
2 minesweepers","Oscarsborg Fortress:
Main Battery:
3 × 28 cm coastal guns
4 × anti-aircraft machine guns[1]
Kopås Battery:
3 × 15 cm coastal guns
Husvik Battery:
2 × 57 mm mine barrier protection guns
Torpedo Battery:
3 × double[2] land based underwater launch tunnels for 45 cm torpedoes[3]
3 × single[4][5][6] land based underwater launch tunnels for 45 cm torpedoes[3]
Seiersten Battery:
2 × Bofors 40 mm L/60
anti-aircraft guns
3 × Colt M/29 7,92 mm anti-aircraft machine guns
Håøya Battery:
4 × Colt M/29 7,92 mm anti-aircraft machine guns
Nesset Battery:
4 × 57 mm Cockerill L/60 guns
Infantry support:
One company of the Norwegian Royal Guards
Total crew:
45 officers
293 NCOs and men,
69 officers and men of the Norwegian Royal Guards[7]",L,,,,,,,V
810,Battle_of_Drøbak_Sound,9 April 1940,"Drøbak Sound, Norway","Decisive Norwegian victory

German invasion force delayed
Flight of the Storting, Royal Family, and gold reserve",Oskar Kummetz,"Oscarsborg Fortress:
Main Battery:
3 × 28 cm coastal guns
4 × anti-aircraft machine guns[1]
Kopås Battery:
3 × 15 cm coastal guns
Husvik Battery:
2 × 57 mm mine barrier protection guns
Torpedo Battery:
3 × double[2] land based underwater launch tunnels for 45 cm torpedoes[3]
3 × single[4][5][6] land based underwater launch tunnels for 45 cm torpedoes[3]
Seiersten Battery:
2 × Bofors 40 mm L/60
anti-aircraft guns
3 × Colt M/29 7,92 mm anti-aircraft machine guns
Håøya Battery:
4 × Colt M/29 7,92 mm anti-aircraft machine guns
Nesset Battery:
4 × 57 mm Cockerill L/60 guns
Infantry support:
One company of the Norwegian Royal Guards
Total crew:
45 officers
293 NCOs and men,
69 officers and men of the Norwegian Royal Guards[7]","2 heavy cruisers
1 light cruiser
1 torpedo boat
2 minesweepers",R,,,,,,,D
811,Battle_of_Dombås,14–19 April 1940,"Dombås area in Dovre, Gudbrandsdal, Norway","Norwegian tactical victory

German Fallschirmjäger company blocks the north-south and west-east rail and road systems for five days before surrendering",Ivar Navelsaker,"•4 officers and 181 men of the 1st Company,
1st Regiment of the
7th Flieger Division[6]","14–17 April:
•2nd Battalion,
Infantry Regiment 11[3]
•No. 1 Company of
Infantry Regiment 5[4]
17–19 April:
•1st Battalion,
Infantry Regiment 11
•No. 1 Company of
Infantry Regiment 5
•Machine gun platoon from NoAAS Jagevingen
•40 mm anti-aircraft gun[5]
19 April:
•Rail mounted howitzer manned by Royal Marines[2]",L,,,,,,,V
814,Battle_of_Narvik,9 April 1940,"Narvik, Norway",German victory,Friedrich Bonte,2 coastal defence ships,10 destroyers,R,,,,,,,V
815,Battle_of_Hundred_Regiments,20 August–5 December 1940,North China,Chinese victory,Peng Dehuai,"270,000 Japanese troops[1][2] and 150,000 Chinese collaborators[1]","400,000",L,,,,,,,V
816,Battle_of_Keren,5 February – 1 April 1941,"Eritrea
15°46′36″N 38°27′4″E﻿ / ﻿15.77667°N 38.45111°E﻿ / 15.77667; 38.45111Coordinates: 15°46′36″N 38°27′4″E﻿ / ﻿15.77667°N 38.45111°E﻿ / 15.77667; 38.45111",Allied victory,William Platt,"23,000","13,000",L,,,,,,,V
817,Battle_of_Keren,5 February – 1 April 1941,"Eritrea
15°46′36″N 38°27′4″E﻿ / ﻿15.77667°N 38.45111°E﻿ / 15.77667; 38.45111Coordinates: 15°46′36″N 38°27′4″E﻿ / ﻿15.77667°N 38.45111°E﻿ / 15.77667; 38.45111",Allied victory,Nicolangelo Carnimeo,"13,000","23,000",R,,,,,,,D
818,Battle_of_Białystok-Minsk,22 June–3 July 1941,"Eastern Poland, Belorussia",German victory,Fedor von Bock,"675,000","750,000",L,,,,,,,V
819,Battle_of_Białystok-Minsk,22 June–3 July 1941,"Eastern Poland, Belorussia",German victory,Dmitry Pavlov (general),"750,000","675,000",R,,,,,,,D
820,Siege_of_Tobruk,10 April – 27 November 1941,"Tobruk, Libya
32°04′34″N 23°57′41″E﻿ / ﻿32.07611°N 23.96139°E﻿ / 32.07611; 23.96139Coordinates: 32°04′34″N 23°57′41″E﻿ / ﻿32.07611°N 23.96139°E﻿ / 32.07611; 23.96139",Allied victory,Erwin Rommel,"27,000","35,000",R,,,,,,,D
822,Battle_of_Corregidor,"May 5–6, 1942","Corregidor island in Manila Bay, Luzon Island, Philippines",Japanese victory,Masaharu Homma,"13,000 US and Filipino troops","75,000 Japanese troops",R,,,,,,,V
823,Battle_of_the_Kasserine_Pass,"February 19–24, 1943","Kasserine Pass, Tunisia",Axis victory,Lloyd Fredendall,"22,000[1]","30,000[1]",L,,,,,,,D
824,Battle_of_New_Georgia,20 June – 7 October 1943,"New Georgia Islands, Solomon Islands",Allied victory,William Halsey Jr.,"10,500","32,000",L,,,,,,,V
825,Battle_off_Horaniu,17–18 August 1943,Near Vella Lavella in the Solomon Islands,Strategic Japanese Victory,Thomas J. Ryan (admiral),"4 destroyers,
20 barges and auxiliary ships",4 destroyers,L,,,,,,,D
826,Naval_Battle_of_Vella_Lavella,6 October 1943,Vella Lavella in the Solomon Islands,Japanese victory,Frank R. Walker,"9 destroyers,
20 barges,
auxiliary ships",6 destroyers,L,,,,,,,D
828,Battle_of_Anguar,17 September–22 October 1944,"Angaur, Palau Islands",American victory,Paul J. Mueller,"1,400[1]:89","10,000",L,,,,,,,V
829,Battle_of_Hurtgen_Forest,19 September – 16 December 1944[1],"50°42′31″N 6°21′46″E﻿ / ﻿50.70861°N 6.36278°E﻿ / 50.70861; 6.36278Coordinates: 50°42′31″N 6°21′46″E﻿ / ﻿50.70861°N 6.36278°E﻿ / 50.70861; 6.36278
German-Belgian border",German defensive victory[2][3][4],Omar Bradley,"80,000","120,000",L,,,,,,,V
830,Battle_of_Hurtgen_Forest,19 September – 16 December 1944[1],"50°42′31″N 6°21′46″E﻿ / ﻿50.70861°N 6.36278°E﻿ / 50.70861; 6.36278Coordinates: 50°42′31″N 6°21′46″E﻿ / ﻿50.70861°N 6.36278°E﻿ / 50.70861; 6.36278
German-Belgian border",German defensive victory[2][3][4],Walter Model,"120,000","80,000",R,,,,,,,D
832,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Johannes Frießner,"260,000","80,000",L,,,,,,,V
834,Battle_of_the_Scheldt,"October 2 – November 8, 1944","Northern Belgium and southwestern Netherlands
51°25′N 4°10′E﻿ / ﻿51.417°N 4.167°E﻿ / 51.417; 4.167Coordinates: 51°25′N 4°10′E﻿ / ﻿51.417°N 4.167°E﻿ / 51.417; 4.167","Allied victory;
Antwerp opens to Allied shipping",Bernard Montgomery,"90,000","60,000",L,,,,,,,V
836,Battle_of_the_Scheldt,"October 2 – November 8, 1944","Northern Belgium and southwestern Netherlands
51°25′N 4°10′E﻿ / ﻿51.417°N 4.167°E﻿ / 51.417; 4.167Coordinates: 51°25′N 4°10′E﻿ / ﻿51.417°N 4.167°E﻿ / 51.417; 4.167","Allied victory;
Antwerp opens to Allied shipping",Gustav-Adolf von Zangen,"60,000","90,000",R,,,,,,,D
837,Raid_at_Los_Baños,23 February 1945,"Los Baños, Laguna, Philippines",Successful Allied military rescue operation,Robert H. Soule,"150-250 Japanese guards
8,000-10,000 Japanese soldiers near camp[1]:39–40","company of U.S. paratroopers
300 troops on amphibian trucks
800 Filipino guerrillas[1]:75",L,,,,,,,V
838,Raid_at_Los_Baños,23 February 1945,"Los Baños, Laguna, Philippines",Successful Allied military rescue operation,Sadaaki Konishi,"company of U.S. paratroopers
300 troops on amphibian trucks
800 Filipino guerrillas[1]:75","150-250 Japanese guards
8,000-10,000 Japanese soldiers near camp[1]:39–40",R,,,,,,,D
839,Battle_on_Lijevča_field,"March 30 – April 8, 1945","Lijevče Field, Independent State of Croatia (modern-day Bosnia and Herzegovina)",Independent State of Croatia victory,Pavle Đurišić,"27,940","17,000",L,,,,,,,D
841,Battle_on_Lijevča_field,"March 30 – April 8, 1945","Lijevče Field, Independent State of Croatia (modern-day Bosnia and Herzegovina)",Independent State of Croatia victory,Vladimir Metikoš,"17,000","27,940",R,,,,,,,V
842,Battle_of_West_Hunan,9 April–7 June 1945,"West Hunan, near Zhijiang",Allied victory,Ichiro Banzai,"110,000 in Hunan
200,000 in total
400 aircraft","80,000[1]",R,,,,,,,D
843,Battle_of_Siping,"March 15, 1946 – March 17, 1946","Siping, Jilin, China",Decisive Communist victory,Li Tianyou,"3,000","6,000",R,,,,,,,V
845,1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",David Ben-Gurion,"Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]","Israel: 29,677 (initially)
117,500 (finally)[Note 1]",L,,,,,,,V
847,1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Abdul Rahman Hassan Azzam,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,,,,,,,D
848,First_Battle_of_Maryang_San,3–8 October 1951,"Imjin River, Korea",United Nations victory,Peng Dehuai,320 men,"1,200 men",R,,,,,,,D
850,Battle_of_the_Hook,"May 28–29, 1953","Near Kaesong, North Korea","United Nations victory

Retention of original hill positions.[1]",Joseph Kendrew,"6,500 [3]","1,500 [2]",L,,,,,,,V
851,Battle_of_Nsukka,"July 2 – 12, 1967
(1 week and 3 days)",northern Biafran border,Nigerian victory,Sule Apollo,unknown,unknown,L,,,,,,,V
852,Battle_of_Nsukka,"July 2 – 12, 1967
(1 week and 3 days)",northern Biafran border,Nigerian victory,H.M. Njoku,unknown,unknown,R,,,,,,,D
853,Midwest_Invasion_of_1967,"August 9 - September 20, 1967
(1 month, 1 week and 4 days)","Mid-Western Region, Nigeria",Nigerian victory,Murtala Mohammed,"7,000",unknown,L,,,,,,,V
854,Midwest_Invasion_of_1967,"August 9 - September 20, 1967
(1 month, 1 week and 4 days)","Mid-Western Region, Nigeria",Nigerian victory,C. Odumegwu Ojukwu,unknown,"7,000",R,,,,,,,D
857,Fall_of_Enugu,"October 1–4, 1967",Enugu,Nigerian victory,Theophilus Danjuma,unknown,unknown,L,,,,,,,V
858,Fall_of_Enugu,"October 1–4, 1967",Enugu,Nigerian victory,Alexander Madiebo,unknown,unknown,R,,,,,,,D
859,First_Battle_of_Onitsha,"October 4–12, 1967
(1 week and 1 day)",Onitsha,Biafran victory,Joseph Achuzie,"10,000-15,000",unknown,R,,,,,,,V
860,Operation_Tiger_Claw,"October 17–19, 1967",Calabar,Nigerian victory,Benjamin Adekunle,unknown,unknown,L,,,,,,,V
861,Operation_Tiger_Claw,"October 17–19, 1967",Calabar,Nigerian victory,Ogbo Oji,unknown,unknown,R,,,,,,,D
862,Battle_of_Coral–Balmoral,12 May – 6 June 1968,"East of Lai Khe, Binh Duong Province, South Vietnam",Australian victory,Ronald Lawrence Hughes,"~3,000 to 4,000 men","~2,500 to 3,000 men
Armour
Artillery",L,,,,,,,V
863,Second_Battle_of_Onitsha,"January 2 - March 20, 1968
(2 months, 2 weeks and 4 days)",Onitsha,Nigerian victory,Murtala Mohammed,unknown,unknown,L,,,,,,,V
864,Second_Battle_of_Onitsha,"January 2 - March 20, 1968
(2 months, 2 weeks and 4 days)",Onitsha,Nigerian victory,Joseph Achuzie,unknown,unknown,R,,,,,,,D
865,Capture_of_Port_Harcourt,"March 8 – May 24, 1968
(2 months, 2 weeks and 2 days)",southern Biafra,Nigerian victory,E.A. Etuk,unknown,unknown,L,,,,,,,V
866,Capture_of_Port_Harcourt,"March 8 – May 24, 1968
(2 months, 2 weeks and 2 days)",southern Biafra,Nigerian victory,Joseph Achuzie,unknown,unknown,R,,,,,,,D
867,Operation_OAU,"September 2 – October 15, 1968
(1 month, 1 week and 6 days)","Owerri, Aba, and Umuahia",Biafran victory,Benjamin Adekunle,"10,000-20,000","35,000",L,,,,,,,D
868,Capture_of_Owerri,"October 15, 1968 – April 25, 1969
(6 months, 1 week and 3 days)",Owerri,Biafran victory,E.A. Etuk,unknown,"3,000",L,,,,,,,D
869,Capture_of_Owerri,"October 15, 1968 – April 25, 1969
(6 months, 1 week and 3 days)",Owerri,Biafran victory,Timothy Onwuatuegwu,"3,000",unknown,R,,,,,,,V
870,Defense_of_Umuahia,"March 27 - April 22, 1969
(3 weeks and 5 days)",Umuahia,Nigerian victory,Mohammed Shuwa,unknown,unknown,L,,,,,,,V
871,Defense_of_Umuahia,"March 27 - April 22, 1969
(3 weeks and 5 days)",Umuahia,Nigerian victory,Azum Asoya,unknown,unknown,R,,,,,,,D
872,Defense_of_Oguta,"December 20-December 24, 1969",Umuahia and Arochukwu,Nigerian victory,Olusegun Obasanjo,unknown,"15,000",L,,,,,,,V
873,Defense_of_Oguta,"December 20-December 24, 1969",Umuahia and Arochukwu,Nigerian victory,Wilson Odo,"15,000",unknown,R,,,,,,,D
874,Operation_Tail-Wind,"January 7 – 12, 1970",Owerri and Uli,"Nigerian victory, Capitulation of Biafra",Olusegun Obasanjo,unknown,unknown,L,,,,,,,V
875,Operation_Tail-Wind,"January 7 – 12, 1970",Owerri and Uli,"Nigerian victory, Capitulation of Biafra",C. Odumegwu Ojukwu,unknown,unknown,R,,,,,,,D
876,Battle_of_Garibpur,20–21 November 1971,"Garibpur, present day Bangladesh",Decisive Indian and Bangladeshi victory,Flight lieutenant,Unknown,Unknown,R,,,,,,,D
878,Iran–Iraq_War,"22 September 1980 – 20 August 1988
(7 years, 10 months, 4 weeks and 1 day)","Iran, Iraq, Persian Gulf","Military stalemate

Iraqi failure to annex territories on the east bank of the Shatt al-Arab and bolster Arab separatism in Khuzestan Province of Iran
Iranian failure to topple Saddam Hussein and destroy Iraqi military power as well as inspire sectarian divide in Iraq
United Nations Security Council Resolution 598",Ruhollah Khomeini,"At the onset of the war:[22]
200,000 soldiers,
2,800 tanks,
4,000 APCs,
1,400 artillery pieces,
380 fighter-bombers,
350 helicopters
After Iraq withdrew from Iran in 1982:
175,000 soldiers,
1,200 tanks,
2,300 armoured vehicles,
400 artillery pieces,
450 aircraft,
180 helicopters
At the end of the war:
1,500,000 soldiers,[23]
~5,000 tanks,
8,500–10,000 APCs,
6,000–12,000 artillery pieces,
900 fighter-bombers,
1,000 helicopters","At the onset of the war:[17]
110,000–150,000 soldiers,
1,700–2,100 tanks,[18] (500 operable)[19]
1,000 armoured vehicles,
300 operable artillery pieces,[20]
485 fighter-bombers (~100 operable),
750 helicopters
After Iraq withdrew from Iran in 1982:
350,000 soldiers,
700 tanks,
2,700 armoured vehicles,
400 artillery pieces,
350 aircraft,
700 helicopters
early 1988:[21]
600,000 soldiers,
1,000 operable tanks,
800 armoured vehicles,
600 heavy artillery pieces,
60–80 fighter-bombers,
70–90 helicopters",L,,,,,,,I
881,Iran–Iraq_War,"22 September 1980 – 20 August 1988
(7 years, 10 months, 4 weeks and 1 day)","Iran, Iraq, Persian Gulf","Military stalemate

Iraqi failure to annex territories on the east bank of the Shatt al-Arab and bolster Arab separatism in Khuzestan Province of Iran
Iranian failure to topple Saddam Hussein and destroy Iraqi military power as well as inspire sectarian divide in Iraq
United Nations Security Council Resolution 598",Saddam Hussein,"At the onset of the war:[17]
110,000–150,000 soldiers,
1,700–2,100 tanks,[18] (500 operable)[19]
1,000 armoured vehicles,
300 operable artillery pieces,[20]
485 fighter-bombers (~100 operable),
750 helicopters
After Iraq withdrew from Iran in 1982:
350,000 soldiers,
700 tanks,
2,700 armoured vehicles,
400 artillery pieces,
350 aircraft,
700 helicopters
early 1988:[21]
600,000 soldiers,
1,000 operable tanks,
800 armoured vehicles,
600 heavy artillery pieces,
60–80 fighter-bombers,
70–90 helicopters","At the onset of the war:[22]
200,000 soldiers,
2,800 tanks,
4,000 APCs,
1,400 artillery pieces,
380 fighter-bombers,
350 helicopters
After Iraq withdrew from Iran in 1982:
175,000 soldiers,
1,200 tanks,
2,300 armoured vehicles,
400 artillery pieces,
450 aircraft,
180 helicopters
At the end of the war:
1,500,000 soldiers,[23]
~5,000 tanks,
8,500–10,000 APCs,
6,000–12,000 artillery pieces,
900 fighter-bombers,
1,000 helicopters",R,,,,,,,I
883,Liberation_of_Khorramshahr,24 April – 24 May 1982,"Khorramshahr, Khuzestan Province, southwest Iran",Decisive Iranian victory,Ahmad Zeidan,"70,000","70,000",L,,,,,,,D
884,Liberation_of_Khorramshahr,24 April – 24 May 1982,"Khorramshahr, Khuzestan Province, southwest Iran",Decisive Iranian victory,Ali Sayad Shirazi,"70,000","70,000",R,,,,,,,V
886,Battle_of_Wireless_Ridge,13 June 1982 – 14 June 1982,"Wireless Ridge, Falkland Islands",British victory,Lieutenant colonel (United Kingdom),500,600,R,,,,,,,V
887,Operation_Just_Cause,"20 December 1989 (1989-12-20) – 31 January 1990[1]
(1 month, 1 week and 4 days)",Panama,"US victory[2]

Military leader Manuel Noriega deposed",Manuel Noriega,"27,000","20,000",L,,,,,,,D
889,Operation_Maslenica,"January 22 – February 1, 1993","Maslenica, Croatia",Croatian tactical victory,Janko Bobetko,"8,500","10,000",L,,,,,,,V
890,Operation_Maslenica,"January 22 – February 1, 1993","Maslenica, Croatia",Croatian tactical victory,Arkan,"10,000","8,500",R,,,,,,,D
891,Kargil_War,May–July 1999,"Kargil district, Jammu and Kashmir",India regains possession of Kargil,Ved Prakash Malik,"5,000","30,000",L,,,,,,,V
892,Kargil_War,May–July 1999,"Kargil district, Jammu and Kashmir",India regains possession of Kargil,Pervez Musharraf,"30,000","5,000",R,,,,,,,D
894,Battle_of_Grozny_(1999–2000),"December 25, 1999 – February 6, 2000","Grozny, Chechnya","Decisive Russian victory

Capture of Grozny by Russian Forces
Fall of the separatist Chechen government",Anatoly Kvashnin,"Russian estimates[1] of 3,000[2]–6,000[3]","About 50,000 Russian soldiers
About 2,000 pro-Russian Chechen militiamen",L,,,,,,,V
896,Battle_of_Grozny_(1999–2000),"December 25, 1999 – February 6, 2000","Grozny, Chechnya","Decisive Russian victory

Capture of Grozny by Russian Forces
Fall of the separatist Chechen government",Aslan Maskhadov,"About 50,000 Russian soldiers
About 2,000 pro-Russian Chechen militiamen","Russian estimates[1] of 3,000[2]–6,000[3]",R,,,,,,,D
897,Battle_of_Košare,9 April–10 June 1999,"Košare, Kosovo, FR Yugoslavia (FR Yugoslav-Albanian border)","Tactical Yugoslav victory

Strategic stalemate
Kumanovo Treaty
NATO suspensions of air sorties",Nebojša Pavković,"6,000 insurgents","1,000 soldiers and volunteers
20 tanks[4]",L,,,,,,,I
899,Battle_of_Košare,9 April–10 June 1999,"Košare, Kosovo, FR Yugoslavia (FR Yugoslav-Albanian border)","Tactical Yugoslav victory

Strategic stalemate
Kumanovo Treaty
NATO suspensions of air sorties",Agim Ramadani,"1,000 soldiers and volunteers
20 tanks[4]","6,000 insurgents",R,,,,,,,I
902,Battle of Banquan,~2500 BC,"Banquan (disputed), China","Youxiong victory
Merging of Youxiong and Shennong to form the Yanhuang tribe",Yan Emperor,unknown,unknown,L,,,,,,,D
904,Battle of Banquan,~2500 BC,"Banquan (disputed), China","Youxiong victory
Merging of Youxiong and Shennong to form the Yanhuang tribe",Yellow Emperor,unknown,unknown,R,,,,,,,V
905,Battle of Mingtiao,circa 1600BC[1],Mingtiao,"Decisive Shang victory

Collapse of Xia dynasty",Jie of Xia,"~6,000 Infantry",Unknown,L,,,,,,,D
907,Battle of Megiddo (15th century BC),"April 16, 1457 BC","Megiddo, Canaan",Egyptian victory,Thutmose III,"10,000-15,000","10,000-20,000",L,,,,,,,V
908,Siege of Dapur,1269 BC,"Dapur, Syria",Egyptian victory,Ramesses II,Probably fewer,Unknown,L,,,,,,,V
