,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
6229,1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Arab Liberation Army,"6,373 killed (about 4,000 fighters and 2,400 civilians)[9]","Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,"Arab armies:
3,700–7,000 killed
Palestinian Arabs:
3,000–13,000 killed (both fighters and civilians)[10][11]",
6252,Pingjin_Campaign,29 November 1948 – 31 January 1949,"Hebei province, China","Decisive Communist victory
Fu was uprisen",Fu Zuoyi,"39,000 (PRC sources) [1]","1,000,000[citation needed]","2,500,000[citation needed]",L,"~520,000[citation needed] (including non-combat losses)",
6258,Operatie_Kraai,19–20 December 1948[1],"Java and Sumatra, Indonesia[2]","Capture of the Indonesian Republican leadership at Yogyakarta[3]
Growing international opposition in the United Nations to Dutch attempts to assert control over Indonesia[4]",General officer,,"800–900 airborne infantry[5]
23 Douglas DC-3s[5]
Dutch fighter aircraft and bombers[5]",3 Mitsubishi Zeros[2],L,,
6262,Battle_of_Kuningtou,"October 25–27, 1949","Greater Kinmen Island, Fujian","Nationalist victory

Halt of Communist attempt to take the island",Chiang Kai-shek,"3,873 killed
5,175 captured[3]","19,000 infantry from PLA 29th Army Corps and the 244th, 246th, 251st, 253rd regiments from the PLA 28th Army Corps (Only 9,086 actually landed); 200 landing vessels (mostly confiscated fishing boats), mainland artillery support.","Roughly 40,000 garrisoned troops from the ROC 18th Army (many only arrived after the battle however), air support from ROC Air Force, maritime support from ROC Navy.",L,"1,267 killed
1,982 wounded[1]
2,500+ killed (PRC estimate)[2]",
6277,Battle_of_Inchon,"10–19 September 1950
(10–15 September – Bombardments of Wolmido and Incheon)
(15–19 September – Inchon Landing)","Incheon, South Korea, Yellow Sea",Decisive United Nations/South Korean victory,Douglas MacArthur,"Land:
1,350 killed
1 fortress damaged
Sea:
1 patrol boat sunk
Air:
1 aircraft destroyed","6,500 infantry
19 aircraft[2]
1 fortress
1 patrol boat
and an unknown number of artillery","40,000 infantry
4 cruisers
7 destroyers
1 armed sampan
and an unknown number of naval and air forces",L,"Land:
US: 222 killed
800 wounded
Sea:
2 killed
9 wounded
2 cruisers damaged
3 destroyers damaged
1 armed sampan damaged
1 LST lost and 3 damaged
Air:
1 aircraft destroyed",
6284,Battle_of_Chamdo,6–19 October 1950,Present-day Chamdo Prefecture,PRC victory,Ngapoi Ngawang Jigme,114 killed or wounded[6],"People's Liberation Army: 40,000[4][5]","Tibetan Army: 8,500[3]",L,"180 killed or wounded[6][7][8]
~2,700 captured

3,341 killed, wounded, surrendered, captured, or defected (Chinese estimate)[2]",
6309,Battle_of_the_Imjin_River,22–25 April 1951,"Imjin River, Korea","Disputed[a]
Successful United Nations delaying action.",Thomas Brodie,"15,000+ (estimated)[19]",unknown,unknown,L,"Unknown

 141 killed, 1,169 wounded, missing or captured[18]
 12 killed
 5 killed",
6322,Battle_of_White_Horse,"October 6–15, 1952","Northwest of Cheorwon, Korea
Coordinates: 38°17′24″N 127°09′00″E﻿ / ﻿38.29000°N 127.15000°E﻿ / 38.29000; 127.15000",United Nations victory,Kim Jong-Oh,"Chinese sources:
1,768 killed
3,062 wounded
562 missing[3]
South Korean estimation: 10,000[4]",unknown,unknown,L,"South Korean sources: 3,500[4]
Chinese estimation: 9,300[3]",
6341,Battle_of_the_Samichon_River,24−26 July 1953,"Jamestown Line, Samichon River, Korea",United Nations victory,John Wilton (general),"2,000 to 3,000 killed (estimated)",unknown,unknown,L,"Australia:
5 killed
24 wounded
United States:
43 killed
316 wounded",
6342,Battle_of_Dien_Bien_Phu,"13 March – 7 May 1954
(1 month, 3 weeks and 3 days)","21°23′13″N 103°0′56″E﻿ / ﻿21.38694°N 103.01556°E﻿ / 21.38694; 103.01556Coordinates: 21°23′13″N 103°0′56″E﻿ / ﻿21.38694°N 103.01556°E﻿ / 21.38694; 103.01556
Vicinity of Điện Biên Phủ, Vietnam","Decisive Viet Minh victory

Termination of French involvement in Indochina
Signing of Geneva Conference (1954)
End of the First Indochina War",Christian de Castries,"Vietnamese figures:
4,020 dead
9,118 wounded
792 missing[12]
French estimate: 8,000 dead and 15,000 wounded[13]","As of March 13:
 49,500 combat personnel
15,000 logistical support personnel[5]
64,500 overall","As of March 13:
 14,000;[3]
20,000 overall
10 tanks
~400 aircraft
 37 pilots[4]",L,"1,571[6]–2,293 dead
5,195–6,650[7] wounded
1,729 missing[8]
11,721 captured (of which 4,436 wounded)[9]
62 aircraft[10] and 10 tanks lost
167 aircraft damaged[11]
 2 dead (James B. McGovern and Wallace A. Buford) declassified in 2004[4]",
6371,Bay_of_Pigs_Invasion,17–20 April 1961,"Bay of Pigs, southern coast of Cuba",Decisive Cuban victory,Fidel Castro,"Brigade 2506:
118 killed
360 wounded[D]
1,202 captured[E]
United States:
4 killed[5]
2 American B-26 bomber aircraft shot down
2 supply ships sunk","1,500 ground forces[A]
8 American B-26 bombers
5 supply ships","25,000 Cuban army[3]
 200,000 Cuban Militia[3][4]
 9,000 armed police[3][4]",L,"Cuban army:
176 killed
500+ wounded[B]
or
4,000 killed, wounded, missing[C]
6 Cuban aircraft shot down",
6380,Battle_of_Arafura_Sea,"January 15, 1962",Arafura Sea,"Indonesian Defeat, RI Matjan Tutul sunk, two others survived",Yos Sudarso,Unknown,"HNLMS Evertsen

HNLMS Kortenaer

HNLMS Utrecht

supported by a P-2 Neptune plane","RI Matjan Tutul

RI Matjan Kumbang

RI Harimau",L,"Komodor Yos Sudarso

Kapten Wiratno (Captain of RI Matjan Tutul)

Kapten Memet Sastrawiria (Yos Sudarso aide)

Kapten Tjiptadi

21 drowned

53 captured by the Netherlands",
6382,Sino-Indian_War,"20 October[1] – 21 November 1962
(1 month and 1 day)",Aksai Chin and North-East Frontier Agency,Chinese victory[2][3],Brij Mohan Kaul,"722 killed
1,697 wounded[7][9]","80,000[5][6]","10,000–12,000",L,"1,383—3,250 killed
548—1,047 wounded
1,696 missing
3,968 captured[7][8]",
6404,Second_Kashmir_War,August – 23 September 1965,"Western Front

Indo-Pakistani border

Line of Control, Working Boundary, Radcliffe Line, Sir Creek, and Zero-Point
Arabian sea



Eastern Front

India-East Pakistan border","Inconclusive; United Nations mandated ceasefire.
No permanent territorial changes (see Tashkent Declaration).",I Corps (India),"Neutral claims[4]

3,800 men[4]
200[4]-300 Tanks[16]
20 aircraft[4]
Over 1,840 km2 (710 mi2) of territory lost (primarily in Sialkot, Lahore, and Kashmir sectors)[7][8][9]

Pakistani claims

19 aircraft lost[14]

Indian claims

5259 men killed or captured [13]
43[17] −73 aircraft destroyed [13]
471 tanks destroyed [13]
3,900 km2[18] territory gained","260,000 Infantry[1]
280 aircraft[2]
756 Tanks[3]

352 Pattons[3]
308 Shermans[3]
96 Chaffees[3]

552 Artillery[3]

72x105mm How[3]
234X25pdr[3]
126x155mm How[3]
48x8"" How[3]
72x3.7"" How[3]
POK Lt Btys[3]","700,000 Infantry[1]
700+ aircraft[2]
720 Tanks[1]

186 Centurions[3]
346 Shermans[1]
90 AMX[1][3]
90 PT-76[1]

628 Artillery[3]

66x 3.7""How[3]
450x 25pdr[3]
96x 5.5""[3]
16x 7.2""[3]",L,"Neutral claims[4][5]

3,000 men[4]
150[6]–190 tanks[4]
60–75 aircraft[4]
540 km2 (210mi2) of territory lost (primarily in Rann of Kutch)[7][8][9]

Indian claims

35[10]–59 aircraft lost[11] In addition, Indian sources claim that there were 13 IAF aircraft lost in accidents, and 3 Indian civilian aircraft shot down.[12]
322 km2 territory lost[13]

Pakistani claims

8,200 men killed or captured[13]
110[14]–113[13] aircraft destroyed
500 tanks captured or destroyed [13]
2602,[15] 2575 km2[13] territory gained
1600 square miles territory gained according to Husain Haqqani",
6446,Battle_of_Chawinda,"14 September 1965, 18 – 19 September 1965[1][2][3][4][5]","Chawinda, Punjab, Pakistan
32°23′03″N 74°43′30″E﻿ / ﻿32.384129274545444°N 74.72492694854736°E﻿ / 32.384129274545444; 74.72492694854736",Pakistani victory.[6][7][8][9],Major general,"29 tanks lost (Indian claim)[13][14]

120 tanks (Pakistani claim)[11]","80,000–150,000 infantry
4th Horse (45x Centurion)
16th Cavalry (45x Centurions)
17th Poona (45x Centurion)
2nd Lancers (45x Sherman)
62nd Cavalry (45x sherman)
Total 225 tanks[10]","30,000-50,000 infantry
22nd cavalry (44xM48)
10th Cavalry (44x Patton)
25th Cavalry (44x Patton)
33th TDU sqn (15x Shermans)
19th Lancers (44x Patton)
11th Cavalry (44x Patton)
Total: 132
+150 (tank reinforcements)[10]",L,"44 tanks (Pakistani claim)[11]
Over 518 km2 (218 mi2) of territory lost[12][13]",
6455,Battle_of_Chamb,November – December 1971,"Chamb about 15-20 km Eastwards of Bhimber, Azad Jammu and Kashmir, Pakistan",Tactical Pakistani victory,Major general,"72 dead
15 wounded
45 square miles (120 km2) of territory lost
Several military vehicles and tanks captured or destroyed",unknown,unknown,L,"6 dead
80 wounded
4 tanks and several military vehicles destroyed",
6502,Battle_of_Ore,"August 9 - September 20, 1967
(1 month, 1 week and 4 days)","Mid-Western Region, Nigeria",Nigerian victory,Murtala Mohammed,"2,000","7,000",unknown,L,unknown,
6521,Tet_Offensive,"Phase 1: January 30 – March 28, 1968
Phase 2: May 5 – June 15, 1968
Phase 3: August 17 – September 23, 1968",South Vietnam,"Heavy casualties on both sides[1][2]
U.S. and South Vietnamese tactical victory.[3]
North Vietnamese propaganda, political, and strategic victory.[4]
Depletion of Viet Cong leading to the use of greater North Vietnamese manpower.",Cao Văn Viên,"In phase 1:
Est. 17,000 killed and 20,000 wounded
To August:
75,000+ casualties[10]
Total 3 phases: 111,179 casualties (45,267 killed, 61,267 wounded, 5,070 missing)[11]","Phase 1: ~80,000
Total: ~323,000 – 595,000[6]","~1,000,000[5]",L,"In phase 1:
 South Vietnam:
4,954 killed
15,917 wounded
926 missing
   
Others:
4,124 killed
19,295 wounded
604 missing
Total casualties in Phase 1:
Approximately 45,820 casualties
(9,078 killed, 35,212 wounded, 1,530 missing)[7] [8]
123 aircraft destroyed, 214 heavily damaged and 215 medium damaged[9]
Total 3 phases: unknown",
6526,Battle_of_Khe_Sanh,21 January – 9 July 1968[1][2][3],"16°39′19.6″N 106°43′42.9″E﻿ / ﻿16.655444°N 106.728583°E﻿ / 16.655444; 106.728583﻿ (Khe Sanh)Coordinates: 16°39′19.6″N 106°43′42.9″E﻿ / ﻿16.655444°N 106.728583°E﻿ / 16.655444; 106.728583﻿ (Khe Sanh)
Khe Sanh Combat Base (Khe Sanh), Quang Tri Province, Republic of Vietnam – UTM Grid XD 852-418[4]","Indecisive; both sides claimed victory:[5][6]

The siege of Khe Sanh was broken by ground forces on 6 April.[7]
Americans destroyed the base complex of Khe Sanh and withdrew from the battle area in July 1968.[8]
North Vietnamese Army gained control of the Khe Sanh region after the American withdrawal.[8][9]
Termination of the McNamara Line.[10] North Vietnamese lines of communication were extended further into South Vietnam.[11]",William Westmoreland,"Unknown (1,602 bodies were counted, US official public estimated 10,000–15,000 KIA,[18]:234–5[19][20] but MACV's secret report estimated only 5,550 KIA[1])
North Vietnamese figures:
1,436 wounded (before mid-March)[21]
2,469 KIA (from 20 January until 20 July 1968).[1]","Siege at Khe Sanh: ~17,200 (304th and 325th Division)
Defense at Route 9: ~16,900 (320th and 324th Division)[13]","~45,000 in total[12]
~6,000 Marines at the Combat Base of Khe Sanh[8] Operation Pegasus: ~20,000 (1st Air Cavalry and Marine units)
Operation Arc Light and operation Niagara: US Air Forces",L,"U.S. losses:
At Khe Sanh:
274 killed
2,541 wounded (not including ARVN Ranger, RF/PF, Forward Operation Base 3 – US Army and Royal Laotian Army losses)[14]
Operation Scotland I (1 November 1967 – 31 March 1968) Operation Pegasus ( 1–14 April 1968):
730 killed
2,642 wounded,
7 missing[14]
Operation Scotland II (15 April 1968 – July 1968):
485 killed
2,396 wounded[1]
Casualties of USAF personnel:
5 ~ 20 killed, wounded unknown[1]
Operation Charlie for the final evacuation (19 June – 5 July 1968):
At least 11 marines killed, wounded unknown[15] During aerial resupply: 1 KC-130, 3 C-123, numerous rotary-wing aircraft
 ARVN losses: 229 killed, 436 wounded (not including CIDG, RF/PF and SOG losses)
CIDG losses: 1,000 – 1,500 killed or missing, at least 250 captured (in Lang Vei), wounded unknown[16]
 Kingdom of Laos: Few hundred casualties.[citation needed]
Total (21 January – 9 July):
12,000+ casualties
(2,800–3,500 killed, 9,000+ wounded, 7 missing, 250+ captured)[14]The low figure often cited for U.S. casualties (205 killed in action, 443 wounded, 2 missing) does not take into account U.S. Army or Air Force casualties or those incurred during Operation Pegasus. Prados and Stubbe, p. 454.</ref>[17]",
6616,Indo-Pakistani_War_of_1971,3–16 December 1971 (13 days),"Eastern Front:

India–East Pakistan border

Bay of Bengal
Pasha enclaves



Western Front:

India–Pakistan border

Line of Control
Arabian Sea","Decisive Indian victory.[1][2][3]
Eastern front:
Surrender of East Pakistan military command.
Western front:
Unilateral Ceasefire.[4]",Inderjit Singh Gill,"9,000 killed[17]
25,000 wounded[18]
97,368 captured
2 Destroyers[19]
1 Minesweeper[19]
1 Submarine[20]
3 Patrol vessels
7 Gunboats

Pakistani main port Karachi facilities damaged/fuel tanks destroyed[19][21]
Pakistani airfields damaged and cratered[22]

Pakistani claims

42 PAF Aircraft[23]

Indian claims

94 PAF Aircraft[16]

Neutral claims

75 PAF Aircraft[8]","Pakistan Armed Forces: 365,000","Indian Armed Forces: 500,000
Mukti Bahini: 175,000
Total: 675,000",L,"2,500[8]–3,843 killed.[9]

1 Naval aircraft[10][11]
Indian Okha harbour damaged/fueling facilities damaged.[citation needed]
Damage to western Indian airfields.[12][13]

Pakistani claims

130 IAF Aircraft[14][15]

Indian claims

45 IAF Aircraft[16] (Supported by Neutral assessments[8])

Neutral claims

45 IAF Aircraft[8]",
6685,Battle_of_Hilli,22 November – 18 December 1971 (27 days),Hilli–Bogra area in northern Bangladesh,Bangladeshi and Indian victory[1],Kazi Nuruzzaman,unknown,unknown,unknown,L,"unknown
 unknown",
6687,Battle_of_Garibpur,20–21 November 1971,"Garibpur, present day Bangladesh",Decisive Indian and Bangladeshi victory,Flight lieutenant,"30 killed
4 tanks destroyed",Unknown,Unknown,R,"180 killed
30 tanks destroyed
3 F-86 Sabres shot down",
6692,Operation_Trident_(Indo-Pakistani_War),4–5 December 1971,"Arabian Sea, 14–17 nautical miles (26–31 km; 16–20 mi) south of the Port of Karachi, Pakistan.",Strategic Indian naval victory and partial naval blockade on Pakistan.,Admiral,"Three ships sunk
One ship badly damaged, scrapped as result
Karachi harbour fuel storage tanks destroyed",Ships deployed off the coast of Karachi,"Three Vidyut-class missile boats
Two Arnala-class anti-submarine corvettes
One fleet tanker",L,None,
6700,Yom_Kippur_War,"October 6–25, 1973","Both banks of the Suez Canal, Golan Heights and surrounding regions","Israeli military victory[21]

Political gains for Egypt and Israel[22]
1978 Camp David Accords",Golda Meir,"Egypt: 5,000[41]–15,000[47] dead

8,372 captured[48]


Syria:


3,000[41]–3,500[47] dead
392 captured[48]


Iraq:


278 dead
898 wounded[49]
13 captured[48]


Jordan:


23 dead
77 wounded[49]


Morocco:


6 captured[48]



Total casualties:


8,000[41]–18,500[47] dead
18,000[41]–35,000[50] wounded
8,783 captured
2,250[51]–2,300[52] tanks destroyed
341[41]–514[53] aircraft destroyed
19 naval vessels sunk[54]","Egypt:


650,000[25]–800,000[28] troops (200,000 crossed)[29]
1,700 tanks (1,020 crossed)[30]
2,400 armored carriers
1,120 artillery units[27]
400 combat aircraft
140 helicopters[31]
104 Navy vessels
150 surface to air missile batteries (62 in the front line)[32]


Syria:


150,000[25] troops
1,200 tanks
800–900 armored carriers
600 artillery units[27][33][34]


Expeditionary Forces*:


100,000 troops[25]
500–670 tanks[35][36]
700 armored carriers[35]


Cuba:


1,500[6]–4,000[37] troops


Morocco:


5,500 troops[38]
30 tanks[38]
52 combat aircraft[38]


Saudi-Arabia:
3,000 troops[39]
Total:


914,000–1,067,500 troops
3,430–3,600 tanks
3,900–4,000 armored carriers
1,720 artillery units
452 combat aircraft
140 helicopters
104 navy vessels
150 surface to air missile batteries","375,000[25]–415,000 troops
1,700 tanks[26]
3,000 armored carriers
945 artillery units[27]
440 combat aircraft",L,"2,521[40]–2,800[41][42] dead
7,250[43]–8,800[41] wounded
293 captured
1,063 tanks destroyed, damaged or captured[44]
407 armored vehicles destroyed or captured
102–387 aircraft destroyed[45][46]",
6722,Battle_of_Latakia,7 October 1973,"near Latakia, Syria",Israeli victory,Michael Barkai,"All vessels sunk
Unknown casualties",5 ships,5 ships,L,None,
6735,Operation_Badr_(1973),"October 6–8, 1973","Sinai peninsula, Egypt",Egyptian victory,David Elazar,"280 killed
20 tanks destroyed[8]
(October 6–7)","October 6: 32,000 infantry[5]
1:00am, October 7: 200 tanks[6]
October 8: 5 divisions
90,000 infantry, 980 tanks[7]","October 6: 1 Division
300–360 tanks
8,000 infantry (460–600 in Bar Lev Line)[1][2][3][4]
October 8: 3 Divisions
640 tanks",L,"400 tanks destroyed
950 killed
2000 wounded[8]",
6750,Turkish_invasion_of_Cyprus,"20 July – 18 August 1974
(4 weeks and 1 day)",Cyprus,"Turkish victory[2]

Turkish occupation of 36.2% of Cyprus by the end of the Second Invasion.[3][4][5][6][7][8]
Fall of the junta in Cyprus and Greek military junta in Athens on 23 July 1974
Formation of the Autonomous Turkish Cypriot Administration, which later evolved into the internationally unrecognized Turkish Republic of Northern Cyprus
140,000[9][10]–200,000[11] Greek Cypriots displaced from the north in place of 42,000[12]–65,000[13] Turkish Cypriots from the south.",Phaedon Gizikis,"568 killed in action (498 TAF, 70 Resistance)
270 civilians killed
803 civilians missing (official number in 1974)[18]
2,000 wounded[19]
[20][21][22]","Turkey:
40,000 troops[14]
Turkish Cypriot enclaves:
11,000–13,500 men, up to 20,000 under full mobilization[15]

Total: 60,000","Cyprus:
12,000 standing strength (40,000 fully mobilised, theoretical)[16]
Greece:
1,800–2,000 troops[17]

Total: 42,000[neutrality is disputed]",R,"4,500–6,000 casualties (military and civilian)[20][21]
including  1,273 deaths[23]
 105 deaths[23]
1000–1100 missing (as of 2015)[24]",
6764,Operation_Entebbe,4 July 1976,"Entebbe Airport, Uganda","Mission successful:

102 of 106 hostages rescued[1]
A quarter of Uganda's air force destroyed[2]",Dan Shomron,"Hijackers:
7 killed
Uganda:
45 killed[3]
11–30 aircraft destroyed[4]","7 hijackers.
+100 Ugandan soldiers.","c.100 commandos,
plus air crew and support personnel.",L,"1 killed
5 wounded",
6773,Ogaden_War,"July 13, 1977[1] – March 15, 1978
(8 months and 2 days)","Ogaden, Ethiopia","Ethiopian victory due to Soviet intervention[2][3]

Soviet and Cuban military intervention[4]
Somalia breaks all ties with the Soviet Union and the Second World (except China and Romania).[5]",Vasiliy Petrov (military),"Somalia:
6,453 killed[14]
2,409 wounded[14]
275 captured or missing[14]
Equipment losses:
28 Aircraft[14] (1/2 of Air force)
72 tanks[14]
30 APCs[14]
90 vehicles[14]","Beginning of war:
25,000 soldiers
23 motorised and mechanised battalions
9 tank battalions
9 artillery battalions
4 airborne battalions[10]
End of war:
SNA 63,200[13]
WSLF 15,000","Beginning of war:
67,000 soldiers in total
On Somali front:
4 infantry brigades (1 mechanised)
2 tank battilions
2 artillery battalions
3 airborne battalions[10]
Later:
75,000 fulltime soldiers in 1980[11]
1,500 Soviet advisors
12,000[12]–18,000 Cubans[9]",L,"Ethiopia:
6,133 killed[14]
10,563 wounded[14]
3,867 captured or missing (including 1,362 deserters)[14][15]
Cuba:
400 killed[15]
South Yemen:
100 killed[15]
USSR:
33 dead and missing[16]
Civilians:
1,000 killed
500,000 displaced[17][18]

Equipment losses:
23 Aircraft[14]
139 tanks[14]
108 APCs[14]
1,399 vehicles[14]",
6790,Iran–Iraq_War,"22 September 1980 – 20 August 1988
(7 years, 10 months, 4 weeks and 1 day)","Iran, Iraq, Persian Gulf","Military stalemate

Iraqi failure to annex territories on the east bank of the Shatt al-Arab and bolster Arab separatism in Khuzestan Province of Iran
Iranian failure to topple Saddam Hussein and destroy Iraqi military power as well as inspire sectarian divide in Iraq
United Nations Security Council Resolution 598",Ruhollah Khomeini,"105,000–375,000 killed[36][38][39][40][41]
250,000–500,000 (other estimates)[42]
400,000 WIA[40]
70,000 POW[29][40]
Economic loss of $561 billion[28][38]","At the onset of the war:[24]
200,000 soldiers,
2,800 tanks,
4,000 APCs,
1,400 artillery pieces,
380 fighter-bombers,
350 helicopters
After Iraq withdrew from Iran in 1982:
175,000 soldiers,
1,200 tanks,
2,300 armoured vehicles,
400 artillery pieces,
450 aircraft,
180 helicopters
At the end of the war:
1,500,000 soldiers,[25]
~5,000 tanks,
8,500–10,000 APCs,
6,000–12,000 artillery pieces,
900 fighter-bombers,
1,000 helicopters","At the onset of the war:[19]
110,000–150,000 soldiers,
1,700–2,100 tanks,[20] (500 operable)[21]
1,000 armoured vehicles,
300 operable artillery pieces,[22]
485 fighter-bombers (~100 operable),
750 helicopters
After Iraq withdrew from Iran in 1982:
350,000 soldiers,
700 tanks,
2,700 armoured vehicles,
400 artillery pieces,
350 aircraft,
700 helicopters
early 1988:[23]
600,000 soldiers,
1,000 operable tanks,
800 armoured vehicles,
600 heavy artillery pieces,
60–80 fighter-bombers,
70–90 helicopters",L,"123,220–160,000 KIA and 60,711 MIA (Iranian claim)[26][27]
200,000–600,000 killed (other estimates)[26][28][29][30][31][32][33][34][35]
800,000 killed (Iraqi claim)[26]
320,000–500,000 WIA[29][36][37]
40,000–42,875 POW[36][37]
11,000–16,000 civilian dead[26][27]
Economic loss of US$627 billion[28][38]",
6844,Gulf_of_Sidra_incident_(1981),19 August 1981,"Gulf of Sidra, Mediterranean Sea","United States victory
Deterioration of Libya – United States relations",Muammar Gaddafi,None,"2 F-14A Tomcats
1 E-2C Hawkeye",2 Sukhoi Su-22 aircraft,L,2 aircraft destroyed,
6871,Falklands_War,"2 April  – 14 June 1982[1][2]
(2 months, 1 week and 5 days)","Falkland Islands, South Georgia and the South Sandwich Islands and surrounding sea and airspace","British victory

Status quo ante bellum in South Georgia and the Falklands
Argentine occupation of Southern Thule ended
Relations severed until 1989
Argentine military government replaced with democratic government in October 1983",Margaret Thatcher,"649 killed[nb 3]
1,657 wounded[4]
11,313 PoWs

1 cruiser
1 submarine
4 cargo vessels
2 patrol boats
1 spy trawler

25 helicopters
35 fighters
2 bombers
4 cargo aircraft
25 COIN aircraft
9 armed trainers",unknown,unknown,L,"255 killed[nb 1]
775 wounded
115 PoWs[nb 2]

2 destroyers
2 frigates
1 LSL ship
1 LCU craft
1 container ship

24 helicopters
10 fighters
1 bomber (interned in Brazil)",
6889,Battle_of_Goose_Green,28–29 May 1982,"Goose Green and Darwin, Falkland Islands",British victory,Wing commander (rank),"18 killed[14]
64 wounded[15][16]",690[6],"684[4]–871 army
202 airforce
10 navy personnel
Total: 896–1083[5]",L,"45[7][8]–55 killed[9][10]

112 wounded[11][12]

961[13] captured",
6898,Battle_of_Wireless_Ridge,13 June 1982 – 14 June 1982,"Wireless Ridge, Falkland Islands",British victory,Lieutenant colonel,"3 killed
11 wounded",600,500,L,"25 killed
125 wounded
37 captured",
6902,Battle_of_Mount_Tumbledown,13 June – 14 June 1982,"Mount Tumbledown, Falkland Islands",British victory,Carlos Robacio,"10 killed[1]
53 wounded[1]",641 Troops,700 Argentine Marines + 200 infantrymen from Argentine Army,L,"30 killed[1]
100 wounded[1]
30 captured[1]",
6904,Invasion_of_Grenada,25 October – 15 December 1983[2],Grenada,"US-CPF victory

Grenadian PRG government deposed
Restoration of former government
Cuban military presence defeated",Ronald Reagan,"Grenada:
45 killed
337 wounded
Cuba:
24 killed
59 wounded[5]
638 captured[3]
2 transport aircraft
Soviet Union:
Large weapons cache seized:

12 APCs
12 anti-aircraft guns
291 submachine guns
6,330 rifles
5.6 million rounds of ammunition[6]","Grenada: ~1,200
Cuba: 780[3]:6, 26, 62
Soviet Union: 49
North Korea: 24[1]
East Germany: 16
Bulgaria: 14
Libya: 3 or 4","United States: 7,300
CPF: 353",L,"United States:
19 killed[4]
116 wounded[3]:6, 62
9 helicopters lost",
6917,Operation_Meghdoot,13 April 1984,"Siachen Glacier, a disputed and undemarcated region of Kashmir
Coordinates: 35°25′N 76°55′E﻿ / ﻿35.417°N 76.917°E﻿ / 35.417; 76.917",Tactical and strategic Indian victory,Lieutenant general,36[6],"3,000+ [5]","3,000[5]",R,200+[6],
6927,Battle_of_the_Marshes,1984,Lakes of the Hawizeh Marshes in Iraq,"Iranian pyrrhic victory[citation needed]

Initial Iraqi counter-attack is successful
Iraqi counter-attack on the Majnoon Island fail to materialize (the plan is aborted)",Hossein Kharrazi,"4,000 killed
6,000 wounded
Unknown loss of materiel",unknown,unknown,R,"20,000 killed
20,000 wounded
49 helicopters shot down (air-to-air combat)[1]",
6931,First_Battle_of_Al_Faw,11 February 1986,"Al-Faw Peninsula, Iraq",Decisive Iranian victory,Akbar Hashemi Rafsanjani,"17,000 KIA, 25,000 WIA,[1] 2,105 captured
74 aircraft, 11 helicopters, 400 tanks, 200 APCs, 500 military vehicles, 20 field artillery pieces, 55 anti-aircraft artillery pieces, 7 fast attack crafts, 5 engineering vehicles destroyed
80 tanks, 40 APCs, 250 vehicles, 35 field artillery pieces, 150 anti-aircraft artillery pieces, 3 radars and 34 engineering equipment captured[2][1]
Other sources:
10,000 KIA (February–March)
40–55 aircraft
100+ tanks[3]","126 infantry battalions, 33 armored battalions, 23 mechanized battalions, 29 commando battalions, 20 Republican Guard battalions
Beginning: 1,000–5,000 troops
Height of battle: 82,000 troops
Three mechanized divisions
400+ aircraft
200+ helicopters","140 infantry battalions, 16 artillery battalions
Beginning: 22,000–25,000 troops
Height of battle: 133,000 troops
Several tank companies
70 aircraft
70+ helicopters",R,"30,000 KIA (February–March)[citation needed]

10,000 casualties of chemical attacks[4]

Numerous armored vehicles and aircraft",
6944,Second_Battle_of_Al_Faw,17 April 1988,al-Faw Peninsula,Decisive Iraqi victory; Iranians expelled from the peninsula,General officer,"1,000 casualties","~100,000 Republican Guard soldiers[3]","8,000-15,000 Basij militia[3]",R,Several thousand,
6951,Gulf_of_Sidra_incident_(1989),4 January 1989,Mediterranean Sea,Two Libyan MiG-23 fighters shot down,Muammar Gaddafi,None,2 F-14A Tomcats,2 MiG-23 Floggers,L,2 aircraft destroyed,
